G	n_seeds	heldout_acc_mean	heldout_acc_se	last10_mean	mean_zvf	mean_reward_train	zvf_theory_at_mean_p
2	3	0.9817	0.0036	0.9771	0.8380	0.8398	0.7310
4	3	0.9883	0.0014	0.9714	0.7635	0.8625	0.5538
8	3	0.9900	0.0024	0.9732	0.6906	0.8694	0.3264
16	3	0.9783	0.0049	0.9837	0.6312	0.8731	0.1140
