model	params_B	family	capability	n_steps	mean_reward	var_reward	R_max_2p	lambda_2p	t80_2p	rmse_2p	r2_2p	lam_at_bound_2p	aicc_2p	c_3p	R_max_3p	lambda_3p	t80_3p	rmse_3p	r2_3p	lam_at_bound_3p	aicc_3p	delta_rmse_3p_minus_2p	delta_aicc_3p_minus_2p	t80_ratio_3p_over_2p
Qwen3.5-4B	4.0000	dense	capable	30	0.8167	0.2153	0.8167	10.0000	0.1609	0.2153	-0.0000	1	-2.57	0.7995	1.0000	0.3569	4.5091	0.2797	-0.6879	0	15.61	+0.0644	+18.18	28.0169
Qwen3-8B	8.0000	dense	incapable	30	0.2854	0.1698	0.2854	10.0000	0.1609	0.1698	-0.0000	1	-16.82	0.2368	1.0500	0.0040	400.8912	0.1676	0.0254	0	-15.11	-0.0022	+1.71	2490.8769
Llama-3.1-8B-Instruct	8.0000	dense	capable	30	0.8688	0.1633	0.8688	10.0000	0.1609	0.1633	-0.0000	1	-19.16	0.8261	1.0000	0.1278	12.5894	0.2004	-0.5065	0	-4.39	+0.0371	+14.77	78.2220
DeepSeek-V3.1	685.0000	moe	capable	20	0.8438	0.1362	0.8438	10.0000	0.1609	0.1362	-0.0000	1	-18.28	0.8428	0.9303	0.0011	1501.3619	0.1362	0.0000	0	-15.48	-0.0000	+2.79	9328.4862
Nemotron-120B	120.0000	dense	incapable	20	0.1750	0.2449	0.1820	0.9902	1.6253	0.2433	0.0137	0	4.92	0.0000	0.1820	0.9903	1.6253	0.2433	0.0137	0	7.71	+0.0000	+2.79	1.0000
