kind	method	seed	group_size	n_steps	mean_zvf	heldout_acc	last10_avg	zvf_lag1	reward_lag1	zvf_std	reward_zvf_corr	first_pass_zvf05	auc_above_zvf05	first_pass_zvf07	auc_above_zvf07	first_pass_zvf09	auc_above_zvf09	zvf_phase1_mean	zvf_phase2_mean	zvf_phase3_mean
groupsize_zvf_sweep	grpo_G2	42	2	40	0.8265625	0.99	0.978125	0.9130574855989072	0.8487017675144132	0.20275808206764534	0.7662837572865403	8	0.3375	12	0.17218750000000002	15	0.039999999999999994	0.5769230769230769	0.9134615384615384	0.9776785714285714
groupsize_zvf_sweep	grpo_G2	123	2	40	0.8515625	0.975	0.975	0.8223823841528122	0.7623915381054078	0.18576672830124882	0.8296852413443317	3	0.35625	9	0.18625000000000003	13	0.04781249999999999	0.6153846153846154	0.9423076923076923	0.9866071428571429
groupsize_zvf_sweep	grpo_G2	456	2	40	0.8359375	0.98	0.978125	0.7850995437577769	0.8246228623447558	0.17155510002255836	0.7894260773414878	3	0.3390625	7	0.16875000000000004	16	0.03343749999999999	0.625	0.9038461538461539	0.96875
groupsize_zvf_sweep	grpo_G4	42	4	40	0.7578125	0.99	0.96875	0.8648297872340426	0.8183148281004091	0.2677990078281658	0.8041609223153334	7	0.3	11	0.14937500000000004	14	0.02781249999999999	0.4230769230769231	0.8701923076923077	0.9642857142857143
groupsize_zvf_sweep	grpo_G4	123	4	40	0.78125	0.99	0.9734375	0.8811416184971098	0.7717042158412499	0.25995792928856776	0.8344944738371505	7	0.31875	10	0.16437500000000002	15	0.03343749999999999	0.4567307692307692	0.9086538461538461	0.9642857142857143
groupsize_zvf_sweep	grpo_G4	456	4	40	0.7515625	0.985	0.971875	0.8841311320484551	0.80515684306533	0.29197853490239656	0.9051253681253353	7	0.3046875	14	0.15906250000000002	17	0.03562499999999999	0.375	0.8798076923076923	0.9821428571428571
groupsize_zvf_sweep	grpo_G8	42	8	40	0.7015625	0.985	0.97265625	0.913891182724664	0.7986902713802098	0.34388846643025117	0.7844008861171567	12	0.2890625	13	0.15281250000000002	15	0.036562499999999984	0.2403846153846154	0.8653846153846154	0.9776785714285714
groupsize_zvf_sweep	grpo_G8	123	8	40	0.6921875	0.995	0.98046875	0.8890226628895184	0.8112369687249399	0.3308333169342985	0.8438659340500563	8	0.275	13	0.13687500000000002	15	0.02187499999999999	0.2548076923076923	0.8653846153846154	0.9375
groupsize_zvf_sweep	grpo_G8	456	8	40	0.678125	0.99	0.96640625	0.9017571390681638	0.815928832024439	0.33235370371789147	0.8481207101170136	11	0.2625	15	0.13000000000000003	19	0.02656249999999999	0.25	0.8173076923076923	0.9464285714285714
groupsize_zvf_sweep	grpo_G16	42	16	40	0.621875	0.97	0.9890625	0.9219164690044234	0.829766238581589	0.39029986468739647	0.8118092161021032	13	0.2546875	16	0.12843750000000004	18	0.023437499999999993	0.09134615384615384	0.7980769230769231	0.9508928571428571
groupsize_zvf_sweep	grpo_G16	123	16	40	0.634375	0.975	0.987109375	0.911028569246047	0.8014673479661043	0.3575497124526882	0.7715765280884996	13	0.24375	15	0.11812500000000004	24	0.02156249999999999	0.16346153846153846	0.7692307692307693	0.9464285714285714
groupsize_zvf_sweep	grpo_G16	456	16	40	0.6375	0.99	0.975	0.9331827167466816	0.8194667084135472	0.371914388670296	0.7890130500465448	12	0.2546875	16	0.12531250000000002	21	0.026249999999999996	0.14903846153846154	0.8028846153846154	0.9375
variance_mitigation	grpo	0	8	300	0.48131	0.3814	0.38239999999999996	0.9925666213095988	0.9698484603293656	0.36495513683191255	0.8735582666707835	141	0.161183	165	0.06434300000000003	222	0.0010679999999999978	0.039983	0.5329780000000001	0.8709690000000001
variance_mitigation	grpo	1	8	300	0.479334	0.3854	0.38439	0.9933506098296303	0.9705337844132362	0.3574347101835523	0.8810572197805141	141	0.15675	168	0.06082300000000001	246	8.199999999999874e-05	0.0467	0.526533	0.864769
variance_mitigation	grpo	2	8	300	0.48032400000000003	0.3836	0.38305	0.9933747688891365	0.9634317108039634	0.35733499328221413	0.8596206373511892	144	0.157114	165	0.06069800000000002	249	0.000363	0.046562	0.53163	0.8627800000000001
variance_mitigation	grpo	3	8	300	0.480633	0.3796	0.3808	0.9920662648960582	0.9691522876101225	0.35946615029930146	0.8556603479069241	144	0.15863	168	0.06340900000000002	255	0.001279999999999999	0.049695	0.524022	0.868182
variance_mitigation	grpo	4	8	300	0.482381	0.384	0.38170000000000004	0.9932868186192708	0.9698779300682235	0.369944474940497	0.8420567672317565	144	0.16520200000000002	165	0.06798300000000003	201	0.001558999999999997	0.037704	0.528209	0.8812300000000001
variance_mitigation	aero	0	8	100	0.221538	0.405	0.39918	0.9694442754271136	0.9078524645547829	0.2544204377718111	0.667421333506306	77	0.030014	96	4.0999999999999926e-05		0.0	0.012430303030303031	0.09241515151515152	0.5498205882352941
variance_mitigation	aero	1	8	100	0.218538	0.4043	0.39815	0.9692013298559675	0.9158320973333706	0.2605311826941259	0.6475055079595214	77	0.031045000000000003	89	0.0006540000000000034		0.0	0.009945454545454546	0.07761212121212122	0.5577764705882353
variance_mitigation	aero	2	8	100	0.221876	0.4072	0.40048000000000006	0.9728535082277429	0.9305964692546054	0.2607869487225156	0.6679217972503046	76	0.032802000000000005	91	0.00040900000000000045		0.0	0.013639393939393939	0.07967575757575758	0.5620058823529411
variance_mitigation	aero	3	8	100	0.217755	0.4059	0.39874	0.9697050545271705	0.921348239937577	0.25948695472990546	0.6766125242820391	77	0.032477	90	0.0011690000000000012		0.0	0.016842424242424242	0.07243030303030304	0.5538088235294117
variance_mitigation	aero	4	8	100	0.22155999999999998	0.4036	0.40011	0.9677758068808815	0.9020120666499076	0.25719209746802096	0.6795522042970702	76	0.031068000000000002	95	0.000909000000000002		0.0	0.014581818181818182	0.08638484848484848	0.5536500000000001
variance_mitigation	cppo	0	8	100	0.29508500000000004	0.3958	0.39203	0.9725994961290818	0.9199302994836273	0.3052277993155276	0.7674792024025822	66	0.065168	78	0.009776000000000009		0.0	0.012678787878787878	0.17047878787878787	0.6901264705882353
variance_mitigation	cppo	1	8	100	0.298018	0.3947	0.39161	0.979266821580228	0.9117479343171917	0.3128317587394221	0.7340453339265259	66	0.068729	76	0.01323900000000001		0.0	0.008745454545454546	0.1714909090909091	0.7015882352941176
variance_mitigation	cppo	2	8	100	0.29635100000000003	0.3978	0.39119000000000004	0.9767653802610092	0.9170619961513573	0.3044986330002156	0.7347474121213485	68	0.064845	78	0.010240000000000006		0.0	0.01410909090909091	0.1733090909090909	0.689714705882353
variance_mitigation	cppo	3	8	100	0.29455200000000004	0.3939	0.39234	0.9743559641917046	0.9167101338281914	0.3039595563491959	0.7368444419604692	68	0.06468199999999999	77	0.011094000000000008		0.0	0.013263636363636363	0.17121212121212123	0.6872794117647059
variance_mitigation	cppo	4	8	100	0.291947	0.3986	0.39263	0.9760478263329043	0.9133145881362054	0.3028356334565006	0.7149600557103323	68	0.062506	79	0.008129000000000008		0.0	0.010457575757575758	0.17054242424242425	0.6829911764705882
variance_mitigation	ngrpo	0	8	100	0.303603	0.3881	0.38642	0.9761597732149679	0.9120570023266936	0.29865571565098165	0.7525156005380685	65	0.063041	77	0.00592600000000001		0.0	0.016766666666666666	0.19771818181818182	0.6847735294117647
variance_mitigation	ngrpo	1	8	100	0.302016	0.3981	0.38794	0.9758630923663317	0.9094157907668006	0.29902456143935735	0.7467816581262585	65	0.062777	78	0.007596000000000008		0.0	0.01536060606060606	0.19542424242424242	0.6836970588235294
variance_mitigation	ngrpo	2	8	100	0.299377	0.3889	0.3869	0.9768462896430515	0.8999766085804982	0.29892949832861926	0.7318110086165173	66	0.061925999999999995	80	0.005500000000000006		0.0	0.014875757575757575	0.18952121212121212	0.6821352941176471
variance_mitigation	ngrpo	3	8	100	0.297451	0.3941	0.38729	0.9770254816351901	0.9151923931920212	0.2993298215998533	0.728355690361818	66	0.061216	81	0.00792600000000001		0.0	0.014084848484848485	0.18662727272727272	0.6800470588235294
variance_mitigation	ngrpo	4	8	100	0.299268	0.3962	0.38853	0.9765763114681066	0.9060323942740582	0.29798860578216746	0.760571628091071	66	0.060869	79	0.007056000000000008		0.0	0.012084848484848485	0.19538787878787878	0.6788294117647059
variance_mitigation	scafgrpo	0	8	100	0.31506900000000004	0.4124	0.40823	0.7361374649785528	0.9127729376368175	0.06353604912960831	0.8357624092553031		0.0		0.0		0.0	0.24474848484848488	0.3238939393939394	0.37475588235294116
variance_mitigation	scafgrpo	1	8	100	0.31255900000000003	0.415	0.40986	0.7986510164133489	0.9265782472788325	0.06736388957742864	0.8120924858650165		0.0		0.0		0.0	0.2429969696969697	0.31347878787878786	0.3791823529411764
variance_mitigation	scafgrpo	2	8	100	0.313074	0.419	0.40944	0.7571574108970159	0.916165285722427	0.06389994150232065	0.7843364965336992		0.0		0.0		0.0	0.25063636363636366	0.3045939393939394	0.38190588235294115
variance_mitigation	scafgrpo	3	8	100	0.321604	0.4099	0.40729999999999994	0.7731969759856111	0.9085702584411778	0.06038735284809229	0.8029276975545572		0.0		0.0		0.0	0.2618030303030303	0.31653030303030305	0.3845705882352941
variance_mitigation	scafgrpo	4	8	100	0.320764	0.4096	0.40926999999999997	0.8068055269233984	0.9210951157433287	0.06937721026388997	0.8301210165912767		0.0		0.0		0.0	0.24779090909090906	0.32247878787878786	0.3899264705882353
variance_mitigation	mcgrpo	0	8	110	0.13320636363636362	0.402	0.39622	0.9571439440666855	0.9475739925421433	0.19368169823767914	0.574018386454423	98	0.007009090909090908		0.0		0.0	0.008658333333333332	0.02558108108108108	0.36201351351351346
variance_mitigation	mcgrpo	1	8	100	0.15248	0.4047	0.39818	0.9519513903431094	0.8936139818011379	0.19778014207700428	0.5720010207639687	88	0.007294		0.0		0.0	0.015148484848484849	0.04438181818181818	0.39069117647058826
variance_mitigation	mcgrpo	2	8	100	0.14994	0.4053	0.39715	0.9592400982900218	0.912661400575396	0.20089673616064546	0.6126414156545469	84	0.007961		0.0		0.0	0.012678787878787878	0.03467272727272728	0.39504117647058823
variance_mitigation	mcgrpo	3	8	100	0.144115	0.3998	0.39798	0.9621625144379403	0.9246038273967933	0.2044546166634542	0.5839307949010173	86	0.008623000000000002		0.0		0.0	0.00817878787878788	0.02173939393939394	0.39482941176470593
variance_mitigation	mcgrpo	4	8	100	0.150529	0.4018	0.39716	0.960644652806614	0.9057411643983958	0.19939862802687486	0.5942007435016903	88	0.008383000000000002		0.0		0.0	0.013151515151515152	0.03734242424242424	0.3937235294117647
