task	hypothesis	obs_rho	ci_lo	ci_hi	n	B_boot
arithmetic_easy	H1_sever_vs_dL_GR	0.10676691729323308	-0.438371483170106	0.5866820971270835	20	20000
gsm8k_cot	H1_sever_vs_dL_GR	-0.18881118881118883	-0.7391304347826088	0.46574020395794047	12	20000
arithmetic_easy	H2_sever_vs_dR_GR	0.29420625333867095	-0.23123798065175966	0.7041879994017844	20	20000
gsm8k_cot	H2_sever_vs_dR_GR	0.013986013986013986	-0.6363798123584601	0.7122302158273381	12	20000
