metric	value
metric	n_observed_budgets
value	4
metric	wu_2025_claim_retention
value	0.976
metric	equivalence_threshold
value	0.8
metric	n_budgets_consistent_with_wu
value	1
metric	n_budgets_rejecting_wu_at_95
value	3
metric	n_budgets_below_equivalence_threshold_80pct
value	2
metric	min_observed_R_G4_over_G32
value	0.7273
metric	T_at_min_R_M
value	64.0
metric	loglinear_slope_R_vs_logT
value	-0.0713
metric	loglinear_r_squared
value	0.9228
metric	first_budget_below_80pct_R_T_M
value	16
metric	first_budget_below_85pct_R_T_M
value	4
metric	predicted_R_at_T_128M
value	0.550383
metric	predicted_R_at_T_256M
value	0.22563
metric	predicted_R_at_T_512M
value	0
