G	n_seeds	zvf_obs	zvf_iid	Y_obs	Y_iid	d_eff_obs	d_eff_iid	ratio_d_eff_Yratio
2	3	0.838	0.731	0.16200000000000003	0.269	0.32400000000000007	0.538	0.6022304832713755
4	3	0.7635	0.5538	0.23650000000000004	0.44620000000000004	0.9460000000000002	1.7848000000000002	0.5300313760645451
8	3	0.6906	0.3264	0.3094	0.6736	2.4752	5.3888	0.4593230403800475
16	3	0.6312	0.114	0.3688	0.886	5.9008	14.176	0.41625282167042893
