model	params_B	arch	n_steps	frac	k_used	r_max	lam	t_80	s0	ss_res	ok
Qwen3.5-4B	4.0	dense	30	0.4	12	0.81943	5.0	0.3219	4.09715	0.033652	True
Qwen3.5-4B	4.0	dense	30	0.6	18	0.815481	5.0	0.3219	4.077405	0.03424	True
Qwen3.5-4B	4.0	dense	30	0.8	24	0.815393	5.0	0.3219	4.076966	0.034269	True
Qwen3.5-4B	4.0	dense	30	1.0	30	0.816849	5.0	0.3219	4.084243	0.03455	True
Qwen3-8B	8.0	dense	30	0.4	12	0.254687	1.686375	0.9544	0.429498	0.028236	True
Qwen3-8B	8.0	dense	30	0.6	18	0.30217	0.520407	3.0927	0.157251	0.129044	True
Qwen3-8B	8.0	dense	30	0.8	24	0.292962	0.658534	2.444	0.192925	0.130257	True
Qwen3-8B	8.0	dense	30	1.0	30	0.295931	0.607136	2.6509	0.17967	0.130772	True
Llama-3.1-8B-Instruct	8.0	dense	30	0.4	12	0.899414	5.0	0.3219	4.49707	0.010904	True
Llama-3.1-8B-Instruct	8.0	dense	30	0.6	18	0.887978	5.0	0.3219	4.43989	0.015735	True
Llama-3.1-8B-Instruct	8.0	dense	30	0.8	24	0.878152	5.0	0.3219	4.390762	0.022808	True
Llama-3.1-8B-Instruct	8.0	dense	30	1.0	30	0.868971	5.0	0.3219	4.344853	0.033046	True
Qwen3-32B	32.0	dense	3	0.4	4	nan	nan	nan	nan	nan	False
Qwen3-32B	32.0	dense	3	0.6	4	nan	nan	nan	nan	nan	False
Qwen3-32B	32.0	dense	3	0.8	4	nan	nan	nan	nan	nan	False
Qwen3-32B	32.0	dense	3	1.0	4	nan	nan	nan	nan	nan	False
Qwen3.5-27B	27.0	dense	3	0.4	4	nan	nan	nan	nan	nan	False
Qwen3.5-27B	27.0	dense	3	0.6	4	nan	nan	nan	nan	nan	False
Qwen3.5-27B	27.0	dense	3	0.8	4	nan	nan	nan	nan	nan	False
Qwen3.5-27B	27.0	dense	3	1.0	4	nan	nan	nan	nan	nan	False
gpt-oss-20B	20.0	moe	30	0.4	12	0.809137	4.021931	0.4002	3.254292	0.000594	True
gpt-oss-20B	20.0	moe	30	0.6	18	0.835292	2.936195	0.5481	2.45258	0.041651	True
gpt-oss-20B	20.0	moe	30	0.8	24	0.83732	2.884093	0.558	2.414909	0.042005	True
gpt-oss-20B	20.0	moe	30	1.0	30	0.841439	2.785081	0.5779	2.343476	0.043929	True
Qwen3-30B-MoE	30.0	moe	5	0.4	4	0.326936	3.348011	0.4807	1.094586	0.001239	True
Qwen3-30B-MoE	30.0	moe	5	0.6	4	0.326936	3.348011	0.4807	1.094586	0.001239	True
Qwen3-30B-MoE	30.0	moe	5	0.8	4	0.326936	3.348011	0.4807	1.094586	0.001239	True
Qwen3-30B-MoE	30.0	moe	5	1.0	5	0.327754	3.286144	0.4898	1.077045	0.001247	True
Qwen3-30B-MoE-Inst	30.0	moe	3	0.4	4	nan	nan	nan	nan	nan	False
Qwen3-30B-MoE-Inst	30.0	moe	3	0.6	4	nan	nan	nan	nan	nan	False
Qwen3-30B-MoE-Inst	30.0	moe	3	0.8	4	nan	nan	nan	nan	nan	False
Qwen3-30B-MoE-Inst	30.0	moe	3	1.0	4	nan	nan	nan	nan	nan	False
DeepSeek-V3.1	685.0	moe	20	0.4	8	0.880172	3.128874	0.5144	2.753948	0.027131	True
DeepSeek-V3.1	685.0	moe	20	0.6	12	0.860797	3.742651	0.43	3.221663	0.03435	True
DeepSeek-V3.1	685.0	moe	20	0.8	16	0.850638	4.316431	0.3729	3.671719	0.038663	True
DeepSeek-V3.1	685.0	moe	20	1.0	20	0.843843	5.0	0.3219	4.219213	0.042015	True
Nemotron-120B	120.0	dense	20	0.4	8	0.0	0.3	5.3648	0.0	0.0	True
Nemotron-120B	120.0	dense	20	0.6	12	2.0	0.00337	477.522	0.006741	0.102647	True
Nemotron-120B	120.0	dense	20	0.8	16	2.0	0.00916	175.7015	0.01832	0.249389	True
Nemotron-120B	120.0	dense	20	1.0	20	2.0	0.010492	153.4007	0.020983	0.269506	True
Qwen3-235B-MoE	235.0	moe	4	0.4	4	1.00169	5.0	0.3219	5.008451	3.4e-05	True
Qwen3-235B-MoE	235.0	moe	4	0.6	4	1.00169	5.0	0.3219	5.008451	3.4e-05	True
Qwen3-235B-MoE	235.0	moe	4	0.8	4	1.00169	5.0	0.3219	5.008451	3.4e-05	True
Qwen3-235B-MoE	235.0	moe	4	1.0	4	1.00169	5.0	0.3219	5.008451	3.4e-05	True
Kimi-K2-Thinking	1000.0	moe	20	0.4	8	0.895119	5.0	0.3219	4.475597	0.004459	True
Kimi-K2-Thinking	1000.0	moe	20	0.6	12	0.899091	5.0	0.3219	4.495453	0.019208	True
Kimi-K2-Thinking	1000.0	moe	20	0.8	16	0.873458	5.0	0.3219	4.367289	0.051162	True
Kimi-K2-Thinking	1000.0	moe	20	1.0	20	0.85026	5.0	0.3219	4.2513	0.094625	True
