src_T_tokens	G4_acc	log10_T_for_G32_to_match	T_for_G32_match	extra_factor_ratio	log10_factor
1000000	0.41	6.0	1000000	1.0	0.0
4000000	0.55	6.3261	2118926	0.53	-0.2759
16000000	0.63	6.5268	3363586	0.21	-0.6773
64000000	0.64	6.5519	3563595	0.056	-1.2543
