method	seed	failure_label	failure_bin	mean_zvf	lag1_zvf_rolling_w15	slope	risk_mag	risk_csd	risk_drift	zvf_risk	zvf_risk_max
scaling_law_Qwen3.5-4B	agg	collapse	1	0.95	0.85	0.015	0.019840305734077517	0.9820137900379085	0.9644288107273639	0.6898447488846503	0.9820137900379085
scaling_law_Llama-3.1-8B-Instruct	agg	collapse	1	0.95	0.85	0.015	0.019840305734077517	0.9820137900379085	0.9644288107273639	0.6898447488846503	0.9820137900379085
scaling_law_DeepSeek-V3.1	agg	collapse	1	0.95	0.85	0.015	0.019840305734077517	0.9820137900379085	0.9644288107273639	0.6898447488846503	0.9820137900379085
scaling_law_Nemotron-120B	agg	collapse	1	0.95	0.85	0.015	0.019840305734077517	0.9820137900379085	0.9644288107273639	0.6898447488846503	0.9820137900379085
scaling_law_Qwen3-8B	agg	collapse	1	0.95	0.85	0.015	0.019840305734077517	0.9820137900379085	0.9644288107273639	0.6898447488846503	0.9820137900379085
grpo	2	plateau	0	0.4803	0.6469	0.009996	0.2531655345333802	0.8775036627642301	0.8580027971017024	0.6863020511624696	0.8775036627642301
grpo	1	plateau	0	0.4793	0.6072	0.009848	0.2543016502000017	0.8280685371933862	0.852506911575282	0.66082614597175	0.852506911575282
grpo	0	plateau	0	0.4813	0.5741	0.010284	0.2520327790702332	0.7757380307759248	0.8682072682536348	0.6371203027597594	0.8682072682536348
aero	4	plateau	0	0.2216	0.5121	0.000577	0.61547842665606	0.650445948782812	0.2636855450674809	0.5626036114017202	0.650445948782812
tool_use_qwen3-32b	0	collapse	1	1.0	0.95	0.0	0.014774031693273067	0.9933071490757153	0.23147521650098238	0.5473808273460361	0.9933071490757153
tool_use_llama-8b-inst	0	collapse	1	1.0	0.95	0.0	0.014774031693273067	0.9933071490757153	0.23147521650098238	0.5473808273460361	0.9933071490757153
mcgrpo	1	plateau	0	0.1525	0.4481	0.000232	0.7078572714244814	0.4952501428906749	0.244087289876596	0.5087997108480011	0.7078572714244814
ngrpo	4	plateau	0	0.2993	0.4725	0.001919	0.5010499984565027	0.5560138905446199	0.3488041163647	0.49808276808220076	0.5560138905446199
aero	2	plateau	0	0.2219	0.4465	0.000375	0.6150523416852246	0.4912508931197597	0.2520893369543627	0.48055901645631977	0.6150523416852246
ngrpo	3	plateau	0	0.2975	0.4584	0.00176	0.5037499296890819	0.5209876607065322	0.3380491520934221	0.47922863967867513	0.5209876607065322
grpo	4	plateau	0	0.4824	0.4213	0.009896	0.25079063555252024	0.42873847485481387	0.8543083758670477	0.46046810326657256	0.8543083758670477
aero	3	plateau	0	0.2178	0.4313	6.3e-05	0.6208599803047108	0.45338575868105696	0.23485447095433087	0.4599217676228079	0.6208599803047108
grpo	3	plateau	0	0.4806	0.4094	0.00952	0.2528253548237829	0.39987163281527666	0.8397003196067644	0.44372348677612605	0.8397003196067644
ngrpo	2	plateau	0	0.2994	0.4295	0.001657	0.5008999990280013	0.448928730692658	0.33116957440037864	0.4409682799348051	0.5008999990280013
cppo	0	plateau	0	0.2951	0.4238	0.001774	0.507349470625257	0.4348721276091598	0.3389896324956522	0.4374388314912874	0.507349470625257
cppo	1	plateau	0	0.298	0.4261	0.001535	0.5029999640005184	0.44053279970872844	0.32311348966952247	0.4357890869884242	0.5029999640005184
cppo	4	plateau	0	0.2919	0.4176	0.001728	0.5121476090802242	0.41970122771085155	0.3359042927795693	0.4306757551354069	0.5121476090802242
ngrpo	0	plateau	0	0.3036	0.4109	0.002063	0.49460020994220494	0.40347659425732124	0.3586795229751724	0.4218542647063566	0.49460020994220494
cppo	2	plateau	0	0.2964	0.4074	0.001764	0.505399790057795	0.3950818980367921	0.33831773056444087	0.41682443214862275	0.505399790057795
cppo	3	plateau	0	0.2946	0.4008	0.00195	0.5080992914863769	0.37942253207290905	0.3509194757554267	0.4123249486334529	0.5080992914863769
areal	0	drift	1	0.1118	0.3469	8.4e-05	0.7556912317132565	0.26289027924463537	0.23598845787961065	0.4053502007122167	0.7556912317132565
ngrpo	1	plateau	0	0.302	0.3844	0.002173	0.49700003599948167	0.34163872763878583	0.3663053357522265	0.3931804417696827	0.49700003599948167
mcgrpo	4	plateau	0	0.1505	0.3463	0.000108	0.7103326117671864	0.26172926057861956	0.23728906949212744	0.39142222771789126	0.7103326117671864
