training_run_id,base_model,is_lora,lora_rank,corrupted,last_request_time,checkpoint_count,last_checkpoint_path,match_confidence,match_method,matched_wandb_runs,wandb_project,wandb_run_id,wandb_name,wandb_state,wandb_url,time_delta_minutes,algorithm,dataset,group_size,learning_rate,steps,seed,final_metric,all_wandb_urls,wandb_model_labels,wandb_model_consistent,hf_repos,hf_model_label,hf_model_consistent,resolution
25a80561-3b92-5883-84d7-a04ff3cb5a44:train:0,Qwen/Qwen3-8B,True,4,False,2026-07-10T18:07:04.944283Z,1,tinker://25a80561-3b92-5883-84d7-a04ff3cb5a44:train:0/sampler_weights/pool0,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
01d27017-5469-581a-b390-18ddc46856cb:train:0,Qwen/Qwen3-8B,True,4,False,2026-07-10T17:45:30.003300Z,1,tinker://01d27017-5469-581a-b390-18ddc46856cb:train:0/sampler_weights/pool0,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
a447bf8f-9e9a-56d2-8f46-9c176fe63c91:train:0,Qwen/Qwen3.5-4B,True,8,False,2026-07-06T20:29:47.954146Z,6,tinker://a447bf8f-9e9a-56d2-8f46-9c176fe63c91:train:0/sampler_weights/G16-s2_8,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
971fc28b-571b-5d19-927b-0db00a41f3e4:train:0,Qwen/Qwen3.5-4B,True,8,False,2026-07-06T20:28:24.591369Z,6,tinker://971fc28b-571b-5d19-927b-0db00a41f3e4:train:0/sampler_weights/G8-s2_8,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
bf898eb5-f185-5a7d-a966-786a6db1ffdb:train:0,Qwen/Qwen3.5-4B,True,8,False,2026-07-06T20:26:29.478896Z,5,tinker://bf898eb5-f185-5a7d-a966-786a6db1ffdb:train:0/sampler_weights/G4-s2_8,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
50d785f6-6312-52d6-b202-f8a3c2edeeb1:train:0,Qwen/Qwen3.5-4B,True,8,False,2026-07-06T20:23:28.520264Z,3,tinker://50d785f6-6312-52d6-b202-f8a3c2edeeb1:train:0/sampler_weights/G2-s2_4,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
cae41061-a684-50e7-85da-b93c356a06d9:train:0,Qwen/Qwen3.5-4B,True,8,False,2026-07-06T20:26:32.890660Z,11,tinker://cae41061-a684-50e7-85da-b93c356a06d9:train:0/sampler_weights/baseline-G16-s0_s10,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
edd38fed-f20d-596f-a32d-6a7af4b63a86:train:0,Qwen/Qwen3.5-4B,True,8,False,2026-07-06T20:23:10.937272Z,8,tinker://edd38fed-f20d-596f-a32d-6a7af4b63a86:train:0/sampler_weights/G16-s1_8,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
05db4ac6-45c9-534f-8e34-858b2f4c2499:train:0,Qwen/Qwen3.5-4B,True,8,False,2026-07-06T20:21:57.922854Z,7,tinker://05db4ac6-45c9-534f-8e34-858b2f4c2499:train:0/sampler_weights/G8-s1_7,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
dde88713-f836-5b5e-8a3a-3a4d1a52c78e:train:0,Qwen/Qwen3.5-4B,True,8,False,2026-07-06T20:21:06.807828Z,6,tinker://dde88713-f836-5b5e-8a3a-3a4d1a52c78e:train:0/sampler_weights/G4-s1_8,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
b2cdec4a-6d03-59ca-853f-64e9ec6c9004:train:0,Qwen/Qwen3.5-4B,True,8,False,2026-07-06T20:19:23.995587Z,3,tinker://b2cdec4a-6d03-59ca-853f-64e9ec6c9004:train:0/sampler_weights/G2-s1_7,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
d683213e-0d4b-5a11-9e22-6637d19759e9:train:0,Qwen/Qwen3.5-4B,True,8,False,2026-07-06T20:20:48.393596Z,11,tinker://d683213e-0d4b-5a11-9e22-6637d19759e9:train:0/sampler_weights/baseline-G8-s0_s10,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
2422c48d-ed80-5c77-99c3-412c5d520112:train:0,Qwen/Qwen3.5-4B,True,8,False,2026-07-06T20:18:40.477398Z,11,tinker://2422c48d-ed80-5c77-99c3-412c5d520112:train:0/sampler_weights/baseline-G2-s0_s10,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
c9712070-5678-54fb-ae0e-cfc35418fadd:train:0,Qwen/Qwen3.5-4B,True,8,False,2026-07-06T20:23:11.566147Z,11,tinker://c9712070-5678-54fb-ae0e-cfc35418fadd:train:0/sampler_weights/curriculum-G4-s5_s10,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
bda722cb-18eb-530c-836e-c1ba5fed108f:train:0,Qwen/Qwen3.5-4B,True,8,False,2026-07-06T20:18:19.537969Z,11,tinker://bda722cb-18eb-530c-836e-c1ba5fed108f:train:0/sampler_weights/baseline-G4-s5_s10,unmatched,unmatched,0,,,,,,,,,,,,,,[],,,,,,unmatched
