G	n_seeds	mean_reward	last10_mean_reward	last10_se	retention_vs_G2	retention_ci_low	retention_ci_high	above_wu_97_6pct	snr_mean_advantage_variance	snr_advantage_variance	snr_ci_low	snr_ci_high	tost_equivalent_vs_G2_eps0.02	tost_p_vs_G2_eps0.02	scope
2	3	0.8398	0.9771	0.001	1.0	0.9979	1.0021	True	0.6833	1.4628	1.2196	1.8051	True	0.0	measured_Qwen2.5-0.5B_arithmetic
4	3	0.8625	0.9714	0.0014	0.9941	0.9915	0.9968	True	0.7583	1.764	1.4622	2.2267	True	0.0	measured_Qwen2.5-0.5B_arithmetic
8	3	0.8694	0.9732	0.0041	0.996	0.9891	1.0035	True	0.7917	1.9412	1.5838	2.5389	True	0.0	measured_Qwen2.5-0.5B_arithmetic
16	3	0.8731	0.9837	0.0044	1.0068	0.9979	1.0127	True	0.825	2.1622	1.7248	2.857	True	0.0004	measured_Qwen2.5-0.5B_arithmetic
