task	algo	key	n_seeds	mean	std
arithmetic_easy	grpo	te_lr	5	0.281329	0.083534
arithmetic_easy	grpo	te_rl	5	0.377594	0.211568
arithmetic_easy	grpo	delta	5	-0.096265	0.232644
arithmetic_easy	grpo	ratio	5	0.990240	0.561845
arithmetic_easy	grpo	a_lr	5	-0.170727	0.203665
arithmetic_easy	grpo	a_rl	5	0.063407	0.073552
arithmetic_easy	dr_grpo	te_lr	5	0.365018	0.075346
arithmetic_easy	dr_grpo	te_rl	5	0.448478	0.238646
arithmetic_easy	dr_grpo	delta	5	-0.083460	0.216826
arithmetic_easy	dr_grpo	ratio	5	1.035306	0.556365
arithmetic_easy	dr_grpo	a_lr	5	-0.002691	0.123468
arithmetic_easy	dr_grpo	a_rl	5	0.050631	0.226268
gsm8k_cot	grpo	te_lr	3	0.390645	0.158529
gsm8k_cot	grpo	te_rl	3	0.386094	0.160586
gsm8k_cot	grpo	delta	3	0.004551	0.121996
gsm8k_cot	grpo	ratio	3	1.074087	0.430762
gsm8k_cot	grpo	a_lr	3	0.017323	0.298060
gsm8k_cot	grpo	a_rl	3	0.019416	0.167482
gsm8k_cot	dr_grpo	te_lr	3	0.450459	0.166521
gsm8k_cot	dr_grpo	te_rl	3	0.453838	0.058811
gsm8k_cot	dr_grpo	delta	3	-0.003380	0.130085
gsm8k_cot	dr_grpo	ratio	3	0.981768	0.295152
gsm8k_cot	dr_grpo	a_lr	3	0.169793	0.207224
gsm8k_cot	dr_grpo	a_rl	3	0.108835	0.184966
