task	algo	seed	n_steps	R_max	t_plat	R_at_plat	zvf_at_plat	rise_slope	rise_intercept	plat_slope	plat_intercept	signature	zvf_bin_at_plat
arithmetic_easy	grpo	42	40	1.0	5	0.890625	0.4375	-0.715625	7.603125	0.000705	4.524676	0.71633	mid
arithmetic_easy	grpo	123	40	1.0	7	0.875	0.5625	-0.4774	7.166574	0.00476	4.431948	0.48216	high
arithmetic_easy	grpo	456	40	1.0	6	0.921875	0.4375	-0.499107	7.096726	-0.000794	4.496491	0.498313	mid
arithmetic_easy	grpo	789	40	1.0	6	0.921875	0.625	-0.51317	7.198289	-0.004198	4.635128	0.508972	high
arithmetic_easy	grpo	1024	40	1.0	6	0.882812	0.375	-0.295089	6.893973	-0.006958	4.700439	0.288131	mid
arithmetic_easy	dr_grpo	42	40	1.0	7	0.929688	0.6875	-0.4601	7.129185	0.006564	4.346652	0.466665	high
arithmetic_easy	dr_grpo	123	40	1.0	8	0.929688	0.6875	-0.363374	6.751302	0.007456	4.304521	0.37083	high
arithmetic_easy	dr_grpo	456	40	1.0	9	0.9375	0.8125	-0.365234	6.786458	-0.000293	4.530469	0.364941	high
arithmetic_easy	dr_grpo	789	40	1.0	7	0.898438	0.6875	-0.405971	6.932199	-0.002512	4.594706	0.403459	high
arithmetic_easy	dr_grpo	1024	40	1.0	7	0.890625	0.6875	-0.450614	7.010324	-0.003726	4.610084	0.446888	high
gsm8k_cot	grpo	42	30	0.5	29	0.28125	0.375	-0.832027	198.640302	0.0	0.0	0.832027	mid
gsm8k_cot	grpo	123	30	0.546875	29	0.234375	0.5	-0.377378	195.377586	0.0	0.0	0.377378	high
gsm8k_cot	grpo	456	30	0.484375	29	0.34375	0.375	-0.144512	194.021013	0.0	0.0	0.144512	mid
gsm8k_cot	dr_grpo	42	30	0.515625	29	0.390625	0.25	-0.277871	194.882651	0.0	0.0	0.277871	mid
gsm8k_cot	dr_grpo	123	30	0.5	29	0.265625	0.375	-0.236084	193.802478	0.0	0.0	0.236084	mid
gsm8k_cot	dr_grpo	456	30	0.53125	29	0.28125	0.5	-0.051632	193.638793	0.0	0.0	0.051632	high
