task	algo_grpo	algo_drgrpo	key	median_grpo	median_drgrpo	n_pairs
arithmetic_easy	grpo	dr_grpo	phi_LL	0.18900122054629023	0.3551484788971823	5
arithmetic_easy	grpo	dr_grpo	phi_LR	-1.9632501046263986	-1.0197535739656658	5
arithmetic_easy	grpo	dr_grpo	phi_RL	-0.04858298567520693	-0.03799627313563502	5
arithmetic_easy	grpo	dr_grpo	phi_RR	0.5560043321791853	0.6058420314498031	5
arithmetic_easy	grpo	dr_grpo	rho	0.7042902867816837	0.7207716276377868	5
arithmetic_easy	grpo	dr_grpo	cumul_impulse_L_to_R	-0.15420074853200502	-0.1961243269023258	5
arithmetic_easy	grpo	dr_grpo	cumul_impulse_R_to_L	-6.665107671706735	-4.7492608357292525	5
arithmetic_easy	grpo	dr_grpo	cumul_diag_self_L	1.605653364678355	1.9107734806142205	5
arithmetic_easy	grpo	dr_grpo	cumul_diag_self_R	2.7532886278441593	2.923878975583997	5
arithmetic_easy	grpo	dr_grpo	fevd_R_from_L_h1	0.12316030851640627	0.1683081856250379	5
arithmetic_easy	grpo	dr_grpo	fevd_R_from_L_h4	0.15351833747911864	0.22913570038319492	5
arithmetic_easy	grpo	dr_grpo	fevd_R_from_L_h8	0.15623521442737323	0.23676042735178052	5
arithmetic_easy	grpo	dr_grpo	fevd_L_from_R_h1	0.11243480526417922	0.026557604455032524	5
arithmetic_easy	grpo	dr_grpo	fevd_L_from_R_h4	0.18352574984593542	0.06663289796548856	5
arithmetic_easy	grpo	dr_grpo	fevd_L_from_R_h8	0.19147990592280245	0.07284950780284152	5
arithmetic_easy	grpo	dr_grpo	cumul_fevd_R_from_L	0.15623521442737323	0.23676042735178052	5
arithmetic_easy	grpo	dr_grpo	cumul_fevd_L_from_R	0.19147990592280245	0.07284950780284152	5
arithmetic_easy	grpo	dr_grpo	Sigma_LL	0.03272535522748793	0.03248473730161201	5
arithmetic_easy	grpo	dr_grpo	Sigma_RR	0.0012015804440021266	0.0016149705310751147	5
arithmetic_easy	grpo	dr_grpo	Sigma_LR	-0.0012797817448608297	-0.0012451112113874294	5
gsm8k_cot	grpo	dr_grpo	phi_LL	0.6412891247735445	0.5315131177136766	3
gsm8k_cot	grpo	dr_grpo	phi_LR	23.491566044724546	15.024576463111007	3
gsm8k_cot	grpo	dr_grpo	phi_RL	0.002855716348768452	-0.0019555389874871417	3
gsm8k_cot	grpo	dr_grpo	phi_RR	-0.11398956969933641	-0.11126632683893563	3
gsm8k_cot	grpo	dr_grpo	rho	0.720272510389177	0.39387059284414044	3
gsm8k_cot	grpo	dr_grpo	cumul_impulse_L_to_R	0.005845797765151766	-0.003313675231108477	3
gsm8k_cot	grpo	dr_grpo	cumul_impulse_R_to_L	69.51599894873917	24.965170971824755	3
gsm8k_cot	grpo	dr_grpo	cumul_diag_self_L	3.3411810387467518	1.8830489834124522	3
gsm8k_cot	grpo	dr_grpo	cumul_diag_self_R	1.0614935069747489	0.7938544758579661	3
gsm8k_cot	grpo	dr_grpo	fevd_R_from_L_h1	0.19479766496510548	0.41084474601937016	3
gsm8k_cot	grpo	dr_grpo	fevd_R_from_L_h4	0.19611091084952598	0.4099217069274055	3
gsm8k_cot	grpo	dr_grpo	fevd_R_from_L_h8	0.19633638450238025	0.409918157957059	3
gsm8k_cot	grpo	dr_grpo	fevd_L_from_R_h1	0.09378895574161258	0.05559686198437498	3
gsm8k_cot	grpo	dr_grpo	fevd_L_from_R_h4	0.12844681728128193	0.06179602751211494	3
gsm8k_cot	grpo	dr_grpo	fevd_L_from_R_h8	0.1334374609165676	0.06184582557632231	3
gsm8k_cot	grpo	dr_grpo	cumul_fevd_R_from_L	0.19633638450238025	0.409918157957059	3
gsm8k_cot	grpo	dr_grpo	cumul_fevd_L_from_R	0.1334374609165676	0.06184582557632231	3
gsm8k_cot	grpo	dr_grpo	Sigma_LL	20.797827476423905	17.432929997777	3
gsm8k_cot	grpo	dr_grpo	Sigma_RR	0.013142093350350994	0.010492389303886617	3
gsm8k_cot	grpo	dr_grpo	Sigma_LR	-0.3878194603239952	-0.2560434060096699	3
