# Pillar 2 Iso-Yield Dynamic Grouping (Iso-G) sizing curve.
# G(p, Y_target) = ceil(log(1 - Y_target) / log(max(p, 1 - p))).
#   p in [0.05, 0.95] at 0.025 step; Y_target in {0.6, 0.8, 0.95}.
# Source: scripts/zvf_contrastive_yield.py
p	G_y06	G_y08	G_y095
0.0250	37	64	119
0.0500	18	32	59
0.0750	12	21	39
0.1000	9	16	29
0.1250	7	13	23
0.1500	6	10	19
0.1750	5	9	16
0.2000	5	8	14
0.2250	4	7	12
0.2500	4	6	11
0.2750	3	6	10
0.3000	3	5	9
0.3250	3	5	8
0.3500	3	4	7
0.3750	2	4	7
0.4000	2	4	6
0.4250	2	3	6
0.4500	2	3	6
0.4750	2	3	5
0.5000	2	3	5
0.5250	2	3	5
0.5500	2	3	6
0.5750	2	3	6
0.6000	2	4	6
0.6250	2	4	7
0.6500	3	4	7
0.6750	3	5	8
0.7000	3	5	9
0.7250	3	6	10
0.7500	4	6	11
0.7750	4	7	12
0.8000	5	8	14
0.8250	5	9	16
0.8500	6	10	19
0.8750	7	13	23
0.9000	9	16	29
0.9250	12	21	39
0.9500	18	32	59
0.9750	37	64	119
