method	seed	half_n	slope	intercept	zvf_first_half_mean	zvf_second_half_mean	slope_normalised	zvf_max
grpo	0	50	0.010284	-0.1100	0.1420	0.8207	0.0110	0.9308
grpo	1	50	0.009848	-0.0949	0.1463	0.8123	0.0109	0.9056
grpo	2	50	0.009996	-0.0966	0.1484	0.8123	0.0109	0.918
grpo	3	50	0.009520	-0.0882	0.1450	0.8162	0.0099	0.9573
grpo	4	50	0.009896	-0.1053	0.1371	0.8276	0.0106	0.9376
aero	0	50	0.000659	0.0034	0.0196	0.4235	0.0009	0.7041
aero	1	50	0.000390	0.0048	0.0143	0.4227	0.0005	0.7435
aero	2	50	0.000375	0.0079	0.0171	0.4266	0.0005	0.7199
aero	3	50	0.000063	0.0153	0.0169	0.4187	0.0001	0.7521
aero	4	50	0.000577	0.0066	0.0208	0.4224	0.0008	0.7385
cppo	0	50	0.001774	-0.0131	0.0303	0.5599	0.0021	0.8353
cppo	1	50	0.001535	-0.0139	0.0237	0.5723	0.0018	0.8477
cppo	2	50	0.001764	-0.0110	0.0322	0.5605	0.0021	0.8332
cppo	3	50	0.001950	-0.0137	0.0341	0.5550	0.0024	0.8225
cppo	4	50	0.001728	-0.0136	0.0287	0.5552	0.0021	0.8117
ngrpo	0	50	0.002063	-0.0139	0.0367	0.5705	0.0027	0.7727
ngrpo	1	50	0.002173	-0.0163	0.0369	0.5671	0.0027	0.8157
ngrpo	2	50	0.001657	-0.0076	0.0330	0.5657	0.0021	0.7773
ngrpo	3	50	0.001760	-0.0102	0.0329	0.5620	0.0022	0.7862
ngrpo	4	50	0.001919	-0.0144	0.0326	0.5659	0.0023	0.8236
scafgrpo	0	50	0.002430	0.2062	0.2657	0.3644	0.0056	0.4375
scafgrpo	1	50	0.001909	0.2114	0.2581	0.3670	0.0044	0.4379
scafgrpo	2	50	0.001200	0.2313	0.2607	0.3654	0.0026	0.4693
scafgrpo	3	50	0.001581	0.2343	0.2730	0.3702	0.0036	0.4353
scafgrpo	4	50	0.002297	0.2093	0.2656	0.3759	0.0049	0.4732
mcgrpo	0	50	0.000488	0.0010	0.0129	0.2780	0.0008	0.6105
mcgrpo	1	50	0.000232	0.0131	0.0188	0.2862	0.0004	0.6145
mcgrpo	2	50	0.000093	0.0122	0.0144	0.2854	0.0001	0.6594
mcgrpo	3	50	-0.000143	0.0100	0.0065	0.2817	-0.0002	0.6168
mcgrpo	4	50	0.000108	0.0125	0.0151	0.2860	0.0002	0.6458
gift	0	50	-0.000013	0.0128	0.0125	0.2163	-0.0000	0.5322
gift	1	50	0.000252	0.0074	0.0136	0.2217	0.0004	0.5628
gift	2	50	0.000219	0.0092	0.0145	0.2169	0.0004	0.5379
gift	3	50	-0.000018	0.0147	0.0143	0.2159	-0.0000	0.5447
gift	4	50	0.000060	0.0167	0.0182	0.2164	0.0001	0.5789
areal	0	50	0.000084	0.0105	0.0126	0.2317	0.0002	0.5316
areal	1	50	-0.000182	0.0211	0.0166	0.2298	-0.0004	0.5149
areal	2	50	0.000062	0.0080	0.0095	0.2335	0.0001	0.5809
areal	3	50	0.000162	0.0098	0.0138	0.2339	0.0003	0.5826
areal	4	50	-0.000139	0.0177	0.0143	0.2338	-0.0002	0.5733
es	0	50	0.001385	-0.0101	0.0238	0.2085	0.0046	0.3027
es	1	50	0.001068	-0.0035	0.0227	0.2074	0.0037	0.2919
es	2	50	0.000916	0.0036	0.0260	0.2066	0.0029	0.3139
es	3	50	0.001241	-0.0052	0.0252	0.2049	0.0043	0.2901
es	4	50	0.000956	0.0026	0.0260	0.2122	0.0032	0.2942
