method	seed	label	collapse_onset_step	pre_window_n	lag1_zvf	lag1_zvf_rolling_w15	lag1_reward	zvf_mean	zvf_std
grpo	0	collapse	74	74	0.9890	0.5741	0.9521	0.3409	0.3223
grpo	1	collapse	82	82	0.9934	0.6072	0.9329	0.3929	0.3379
grpo	2	collapse	83	83	0.9949	0.6469	0.9241	0.3984	0.3380
grpo	3	no_collapse	NA	100	0.9929	0.4094	0.9449	0.4806	0.3595
grpo	4	no_collapse	NA	100	0.9937	0.4213	0.9539	0.4824	0.3699
aero	0	no_collapse	NA	100	0.9886	0.3307	0.9443	0.2215	0.2544
aero	1	no_collapse	NA	100	0.9894	0.2427	0.9544	0.2185	0.2605
aero	2	no_collapse	NA	100	0.9920	0.4465	0.9548	0.2219	0.2608
aero	3	no_collapse	NA	100	0.9891	0.4313	0.9623	0.2178	0.2595
aero	4	no_collapse	NA	100	0.9903	0.5121	0.9430	0.2216	0.2572
cppo	0	no_collapse	NA	100	0.9900	0.4238	0.9553	0.2951	0.3052
cppo	1	no_collapse	NA	100	0.9941	0.4261	0.9565	0.2980	0.3128
cppo	2	no_collapse	NA	100	0.9907	0.4074	0.9514	0.2964	0.3045
cppo	3	no_collapse	NA	100	0.9904	0.4008	0.9468	0.2946	0.3040
cppo	4	no_collapse	NA	100	0.9943	0.4176	0.9461	0.2919	0.3028
ngrpo	0	no_collapse	NA	100	0.9930	0.4109	0.9582	0.3036	0.2987
ngrpo	1	no_collapse	NA	100	0.9927	0.3844	0.9529	0.3020	0.2990
ngrpo	2	no_collapse	NA	100	0.9927	0.4295	0.9428	0.2994	0.2989
ngrpo	3	no_collapse	NA	100	0.9930	0.4584	0.9582	0.2975	0.2993
ngrpo	4	no_collapse	NA	100	0.9925	0.4725	0.9465	0.2993	0.2980
scafgrpo	0	no_collapse	NA	100	0.7586	-0.1721	0.9534	0.3151	0.0635
scafgrpo	1	no_collapse	NA	100	0.8300	0.2102	0.9634	0.3126	0.0674
scafgrpo	2	no_collapse	NA	100	0.7692	-0.0700	0.9567	0.3131	0.0639
scafgrpo	3	no_collapse	NA	100	0.7958	0.0102	0.9538	0.3216	0.0604
scafgrpo	4	no_collapse	NA	100	0.8215	0.1060	0.9628	0.3208	0.0694
mcgrpo	0	no_collapse	NA	100	0.9867	0.3038	0.9599	0.1454	0.1990
mcgrpo	1	no_collapse	NA	100	0.9812	0.4481	0.9452	0.1525	0.1978
mcgrpo	2	no_collapse	NA	100	0.9859	0.3366	0.9530	0.1499	0.2009
mcgrpo	3	no_collapse	NA	100	0.9882	0.3224	0.9572	0.1441	0.2045
mcgrpo	4	no_collapse	NA	100	0.9851	0.3463	0.9464	0.1505	0.1994
gift	0	no_collapse	NA	100	0.9801	0.2087	0.9643	0.1144	0.1663
gift	1	no_collapse	NA	100	0.9736	0.1419	0.9627	0.1176	0.1642
gift	2	no_collapse	NA	100	0.9759	0.2195	0.9604	0.1157	0.1618
gift	3	no_collapse	NA	100	0.9806	0.2374	0.9638	0.1151	0.1648
gift	4	no_collapse	NA	100	0.9721	0.2172	0.9571	0.1173	0.1621
areal	0	no_collapse	NA	100	0.9800	0.3469	0.9556	0.1221	0.1676
areal	1	no_collapse	NA	100	0.9776	0.2572	0.9594	0.1232	0.1657
areal	2	no_collapse	NA	100	0.9780	0.1530	0.9568	0.1215	0.1688
areal	3	no_collapse	NA	100	0.9749	0.1817	0.9660	0.1239	0.1692
areal	4	no_collapse	NA	100	0.9803	0.2483	0.9676	0.1241	0.1688
es	0	no_collapse	NA	100	0.9236	0.0997	0.9429	0.1161	0.1018
es	1	no_collapse	NA	100	0.9410	0.1526	0.9592	0.1150	0.1025
es	2	no_collapse	NA	100	0.9333	0.1050	0.9409	0.1163	0.1005
es	3	no_collapse	NA	100	0.9117	0.0643	0.9508	0.1151	0.0990
es	4	no_collapse	NA	100	0.9442	0.1921	0.9510	0.1191	0.1012
