task	window	side	delta	ci_lo	ci_hi	p	n
arithmetic_easy	0	bwd	-0.09456116445368545	-0.5763067343916408	0.8743940210059598	0.1252	5
arithmetic_easy	0	fwd	0.0477650543658274	-0.7562942028424026	0.41052610404068424	0.6392	5
arithmetic_easy	0	bwd_signed	0.08293057725073424	-0.9542941519256852	0.6634097842061359	0.6376	5
arithmetic_easy	0	fwd_signed	0.045405877250587645	-1.0173648064932626	0.09272047155228896	0.6314	5
arithmetic_easy	1	bwd	0.07710315949257307	-0.516314405167898	0.3866335952843185	0.6392	5
arithmetic_easy	1	fwd	-0.07690184856253734	-0.8735762124623614	0.3252022060156577	0.1188	5
arithmetic_easy	1	bwd_signed	0.27295241043274343	-0.2585031679292479	0.6762106398510515	0.6206	5
arithmetic_easy	1	fwd_signed	-0.18010353317554084	-0.25512280630134354	0.4366844635493626	0.6376	5
arithmetic_easy	2	bwd	0.2187783723826473	0.14639024506000786	0.5058161551279474	0.0	5
arithmetic_easy	2	fwd	0.14300100412494499	-0.5822942203657524	0.37363042454738726	0.635	5
arithmetic_easy	2	bwd_signed	-0.05827053717955111	-0.44115484193612875	0.8244825958595017	0.6392	5
arithmetic_easy	2	fwd_signed	-0.2544249184799546	-0.7808931702942679	0.355456759057352	0.6314	5
arithmetic_easy	3	bwd	0.07754860026727184	-0.12050894257309985	0.4447850597915576	0.1252	5
arithmetic_easy	3	fwd	-0.13621563612313803	-0.6976517674455847	0.14458781156223643	0.1088	5
arithmetic_easy	3	bwd_signed	0.44835445339415325	-0.5991605172940084	0.8450098356911476	0.1252	5
arithmetic_easy	3	fwd_signed	-0.27120722308693523	-1.5460098236885673	-0.0761312675821213	0.0	5
gsm8k_cot	0	bwd	-0.08201426335951245	-0.23333764744467111	0.4036225012193966	0.5232	3
gsm8k_cot	0	fwd	-0.2548547608651852	-0.49787316441950635	0.6634418035267228	0.536	3
gsm8k_cot	0	bwd_signed	0.07092183800966168	-0.32346652617339555	0.3686613237712344	0.5046	3
gsm8k_cot	0	fwd_signed	0.012238411923619796	-0.9759495948761587	0.21108325458850985	0.536	3
gsm8k_cot	1	bwd	-0.19892604673327607	-0.4736179654474372	0.0353203291855374	0.5232	3
gsm8k_cot	1	fwd	0.006457919104599474	-1.0088080645577635	0.5700701960350003	0.5232	3
gsm8k_cot	1	bwd_signed	-0.4736179654474372	-0.4889798619575655	0.16475646976330938	0.5232	3
gsm8k_cot	1	fwd_signed	0.17803710940445389	0.10529976653230383	0.5287278048588614	0.0	3
gsm8k_cot	2	bwd	0.09043152590123071	-0.18745534680960385	0.12658106796460566	0.536	3
gsm8k_cot	2	fwd	0.02318141195669088	-0.18322622181518589	0.3205929619276193	0.5232	3
gsm8k_cot	2	bwd_signed	0.41819603701075203	0.11371859313066102	1.3630024330724562	0.0	3
gsm8k_cot	2	fwd_signed	-1.0979588810698482	-1.4036184959668399	-0.08536610367720798	0.0	3
gsm8k_cot	3	bwd	-0.48722895293437996	-1.0456401198452405	0.20152746214958606	0.5232	3
gsm8k_cot	3	fwd	0.1899594535724869	-0.2436078240737427	0.35777922763450254	0.536	3
gsm8k_cot	3	bwd_signed	0.14889211025645976	-1.0456401198452405	0.589990848741993	0.5046	3
gsm8k_cot	3	fwd_signed	-0.17702114342272546	-0.4382749954284605	0.2928053971616937	0.5046	3
