task	spearman_sever_vs_neg_delta_ZVF	spearman_p_param	p_perm_two_sided	null_mean	null_std	null_q025	null_q500	null_q975	n_points	B_perm	mean_sever	mean_neg_delta_ZVF
arithmetic_easy	0.1628350937643352	0.4927565204109715	0.4908101837963241	-0.0007832217236829556	0.22888541084200037	-0.4455349093274172	-0.0007538661748348852	0.4432733108029125	20	50000	-0.11009807210718374	0.04187499999999998
gsm8k_cot	-0.2081209670087158	0.516277034050055	0.5104897902041959	-0.0021187419936290687	0.3006647636437242	-0.5820332128209849	-0.0035274740170968774	0.5749782647867911	12	50000	0.15422812134614705	-0.018415178571428572
