# Pillar 2 iter74 ZVF Markov-chain dynamics
# Source: scripts/zvf_iter74.py
method	n_traces	mean_zvf	mean_frac_H	mean_run_L	mean_run_M	mean_run_H	mean_selfloop_H	mean_absorbing_H	median_absorbing_H	max_absorbing_H	rank_absorbing	mean_last10_acc
aero	5	0.2203	0.232	25.0167	9.2167	20.9	0.9909	0.232	0.23	0.24	4	0.3993
areal	5	0.1209	0.0369	34.8	8.8133	1.8667	0.4767	0.0369	0.04	0.0545	7	0.4042
cppo	5	0.2952	0.322	21.3667	6.8667	25.7	0.9873	0.322	0.32	0.33	3	0.3919
es	5	0.1142	0.0	26.1	24.5667	0.0	0.0	0.0	0.0	0.0	8	0.39
gift	5	0.1142	0.0371	26.5833	6.5667	2.0667	0.4667	0.0371	0.04	0.0455	6	0.4025
grpo	5	0.4808	0.524	50.0	31.1	157.2	1.0	0.524	0.52	0.53	1	0.3825
mcgrpo	5	0.146	0.118	26.0667	8.2	8.4	0.9452	0.118	0.12	0.13	5	0.3974
ngrpo	5	0.3004	0.34	19.9667	7.3	27.3	0.9877	0.34	0.34	0.35	2	0.3874
scafgrpo	5	0.3166	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	9	0.4088
