metric	n	intercept	slope_per_log10N	se_slope	r2	perm_p_value
r_first	12	0.5616	0.0602	0.1517	0.0155	0.7028
r_final	12	0.5304	0.0822	0.1620	0.0251	0.6158
r_mean	12	0.5069	0.0809	0.1288	0.0379	0.5434
r_peak	12	0.7139	0.0752	0.0963	0.0575	0.4606
r_var	12	0.0442	-0.0074	0.0114	0.0397	0.5264
zero_frac	12	0.0516	0.0167	0.0730	0.0052	0.8538
frac_above_0p5	12	0.4100	0.1197	0.1748	0.0448	0.5138
