# Iter 42 Pillar 2 early-trace ZVF as predictor of late failure mode.
# Per-run row: early features (fp05_frac = first_pass_zvf05 / n_steps,
#   burden_05 = auc_above_zvf05, etc.) + late outcome label.
# kNN-LOO with k=3 over z-scored features predicting {collapse,
#   plateau, drift, converged}. Same taxonomy as iter 38.
# Source: scripts/zvf_iter42.py
kind	method	seed	group_size	n_steps	fp05_frac	fp07_frac	fp09_frac	early_bloom05	early_bloom07	early_bloom09	burden_05	burden_07	mean_zvf	zvf_std	zvf_lag1	last10_avg	peak	label	pred	correct
groupsize_zvf_sweep	grpo_G2	42	2	40	0.2000	0.3000	0.3750	1	1	1	0.3375	0.1722	0.8266	0.2028	0.9131	0.9781	0.9900	converged	converged	1
groupsize_zvf_sweep	grpo_G2	123	2	40	0.0750	0.2250	0.3250	1	1	1	0.3563	0.1863	0.8516	0.1858	0.8224	0.9750	0.9750	converged	converged	1
groupsize_zvf_sweep	grpo_G2	456	2	40	0.0750	0.1750	0.4000	1	1	1	0.3391	0.1688	0.8359	0.1716	0.7851	0.9781	0.9800	converged	converged	1
groupsize_zvf_sweep	grpo_G4	42	4	40	0.1750	0.2750	0.3500	1	1	1	0.3000	0.1494	0.7578	0.2678	0.8648	0.9688	0.9900	converged	converged	1
groupsize_zvf_sweep	grpo_G4	123	4	40	0.1750	0.2500	0.3750	1	1	1	0.3187	0.1644	0.7812	0.2600	0.8811	0.9734	0.9900	converged	converged	1
groupsize_zvf_sweep	grpo_G4	456	4	40	0.1750	0.3500	0.4250	1	1	1	0.3047	0.1591	0.7516	0.2920	0.8841	0.9719	0.9850	converged	converged	1
groupsize_zvf_sweep	grpo_G8	42	8	40	0.3000	0.3250	0.3750	1	1	1	0.2891	0.1528	0.7016	0.3439	0.9139	0.9727	0.9850	converged	converged	1
groupsize_zvf_sweep	grpo_G8	123	8	40	0.2000	0.3250	0.3750	1	1	1	0.2750	0.1369	0.6922	0.3308	0.8890	0.9805	0.9950	converged	converged	1
groupsize_zvf_sweep	grpo_G8	456	8	40	0.2750	0.3750	0.4750	1	1	1	0.2625	0.1300	0.6781	0.3324	0.9018	0.9664	0.9900	converged	converged	1
groupsize_zvf_sweep	grpo_G16	42	16	40	0.3250	0.4000	0.4500	1	1	1	0.2547	0.1284	0.6219	0.3903	0.9219	0.9891	0.9700	converged	converged	1
groupsize_zvf_sweep	grpo_G16	123	16	40	0.3250	0.3750	0.6000	1	1	0	0.2437	0.1181	0.6344	0.3575	0.9110	0.9871	0.9750	converged	converged	1
groupsize_zvf_sweep	grpo_G16	456	16	40	0.3000	0.4000	0.5250	1	1	0	0.2547	0.1253	0.6375	0.3719	0.9332	0.9750	0.9900	converged	converged	1
variance_mitigation	grpo	0	8	300	0.4700	0.5500	0.7400	1	0	0	0.1612	0.0643	0.4813	0.3650	0.9926	0.3824	0.3814	plateau	plateau	1
variance_mitigation	grpo	1	8	300	0.4700	0.5600	0.8200	1	0	0	0.1568	0.0608	0.4793	0.3574	0.9934	0.3844	0.3854	plateau	plateau	1
variance_mitigation	grpo	2	8	300	0.4800	0.5500	0.8300	1	0	0	0.1571	0.0607	0.4803	0.3573	0.9934	0.3831	0.3836	plateau	plateau	1
variance_mitigation	grpo	3	8	300	0.4800	0.5600	0.8500	1	0	0	0.1586	0.0634	0.4806	0.3595	0.9921	0.3808	0.3796	plateau	plateau	1
variance_mitigation	grpo	4	8	300	0.4800	0.5500	0.6700	1	0	0	0.1652	0.0680	0.4824	0.3699	0.9933	0.3817	0.3840	plateau	plateau	1
variance_mitigation	aero	0	8	100	0.7700	0.9600	1.0000	0	0	0	0.0300	0.0000	0.2215	0.2544	0.9694	0.3992	0.4050	plateau	plateau	1
variance_mitigation	aero	1	8	100	0.7700	0.8900	1.0000	0	0	0	0.0310	0.0007	0.2185	0.2605	0.9692	0.3982	0.4043	plateau	plateau	1
variance_mitigation	aero	2	8	100	0.7600	0.9100	1.0000	0	0	0	0.0328	0.0004	0.2219	0.2608	0.9729	0.4005	0.4072	plateau	plateau	1
variance_mitigation	aero	3	8	100	0.7700	0.9000	1.0000	0	0	0	0.0325	0.0012	0.2178	0.2595	0.9697	0.3987	0.4059	plateau	plateau	1
variance_mitigation	aero	4	8	100	0.7600	0.9500	1.0000	0	0	0	0.0311	0.0009	0.2216	0.2572	0.9678	0.4001	0.4036	plateau	plateau	1
variance_mitigation	cppo	0	8	100	0.6600	0.7800	1.0000	0	0	0	0.0652	0.0098	0.2951	0.3052	0.9726	0.3920	0.3958	plateau	plateau	1
variance_mitigation	cppo	1	8	100	0.6600	0.7600	1.0000	0	0	0	0.0687	0.0132	0.2980	0.3128	0.9793	0.3916	0.3947	plateau	plateau	1
variance_mitigation	cppo	2	8	100	0.6800	0.7800	1.0000	0	0	0	0.0648	0.0102	0.2964	0.3045	0.9768	0.3912	0.3978	plateau	plateau	1
variance_mitigation	cppo	3	8	100	0.6800	0.7700	1.0000	0	0	0	0.0647	0.0111	0.2946	0.3040	0.9744	0.3923	0.3939	plateau	plateau	1
variance_mitigation	cppo	4	8	100	0.6800	0.7900	1.0000	0	0	0	0.0625	0.0081	0.2919	0.3028	0.9760	0.3926	0.3986	plateau	plateau	1
variance_mitigation	ngrpo	0	8	100	0.6500	0.7700	1.0000	0	0	0	0.0630	0.0059	0.3036	0.2987	0.9762	0.3864	0.3881	plateau	plateau	1
variance_mitigation	ngrpo	1	8	100	0.6500	0.7800	1.0000	0	0	0	0.0628	0.0076	0.3020	0.2990	0.9759	0.3879	0.3981	plateau	plateau	1
variance_mitigation	ngrpo	2	8	100	0.6600	0.8000	1.0000	0	0	0	0.0619	0.0055	0.2994	0.2989	0.9768	0.3869	0.3889	plateau	plateau	1
variance_mitigation	ngrpo	3	8	100	0.6600	0.8100	1.0000	0	0	0	0.0612	0.0079	0.2975	0.2993	0.9770	0.3873	0.3941	plateau	plateau	1
variance_mitigation	ngrpo	4	8	100	0.6600	0.7900	1.0000	0	0	0	0.0609	0.0071	0.2993	0.2980	0.9766	0.3885	0.3962	plateau	plateau	1
variance_mitigation	scafgrpo	0	8	100	1.0000	1.0000	1.0000	0	0	0	0.0000	0.0000	0.3151	0.0635	0.7361	0.4082	0.4124	plateau	plateau	1
variance_mitigation	scafgrpo	1	8	100	1.0000	1.0000	1.0000	0	0	0	0.0000	0.0000	0.3126	0.0674	0.7987	0.4099	0.4150	plateau	plateau	1
variance_mitigation	scafgrpo	2	8	100	1.0000	1.0000	1.0000	0	0	0	0.0000	0.0000	0.3131	0.0639	0.7572	0.4094	0.4190	plateau	plateau	1
