model	n_anchors	intercept	slope_per_log10N	se_slope	n_at_lambda_bound	n_free_lambda	note
log10(t_80) ~ log10(N)	5	-0.8413	0.1699	0.2538	4	1	degenerate (4/5 anchored at lambda bound)
log10(t_80) ~ log10(N) [lambda-free]	1	nan	nan	nan	4	1	single-point regression (only Nemotron-120B has free lambda)
