anchor	params_B	lambda_h	r2_prefix	r2_suffix	delta_prefix_minus_suffix
Qwen3.5-4B	4.0	9.999205916145513	-0.02393952456115267	-0.0890202267065685	0.06508070214541584
Qwen3-8B	8.0	0.0257096298270521	-0.5796369184214962	-0.15844292961468542	-0.4211939888068108
Llama-3.1-8B-Instruct	8.0	9.999076172213668	-0.08691018186731703	-0.031788313622321596	-0.05512186824499543
Nemotron-120B	120.0	0.021864861573116266	-0.12685766463868586	0.03800425707391142	-0.16486192171259728
# R_max (shared, dense pool) = 0.8265
