pool	n_anchors	alpha_logN	alpha_lo95	alpha_hi95	log_c	r2	n_boot_success	anchors
pool_A_5anchor	5	-0.0628206446982848	-1.626358917764296	0.5541435074586585	-0.3560174214297992	0.009228120695924935	5000	Qwen3.5-4B|Qwen3-8B|Llama-3.1-8B-Instruct|DeepSeek-V3.1|Nemotron-120B
pool_AB_9anchor	9	-0.0701234602531928	-1.0689590159398774	0.44545261977384165	-0.4130452527924015	0.007561165840957673	5000	Qwen3.5-4B|Qwen3-8B|Llama-3.1-8B-Instruct|DeepSeek-V3.1|Nemotron-120B|Qwen3-32B|Qwen3.5-27B|Qwen3-30B-MoE|Qwen3-30B-MoE-Inst
