# Pillar 2 Iter 70 per-run ZVF vs heldout_acc pairs
# One row per (experiment, run) with mean_zvf, mean_acc, and
# the within-run Pearson r between ZVF and reward across steps.
# Within-run correlations are *not* the cross-experiment
# correlation (use the latter for failure predictions).
# Source: scripts/zvf_iter70.py
experiment	model	method	algo	group_size	seed	n_steps	mean_zvf	mean_acc	zvf_acc_corr	evidence_path
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B			2	42	40	0.8266	0.8273	0.7663	experiments/results/groupsize_zvf_sweep.json
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B			2	123	40	0.8516	0.8523	0.8297	experiments/results/groupsize_zvf_sweep.json
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B			2	456	40	0.8359	0.8398	0.7894	experiments/results/groupsize_zvf_sweep.json
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B			4	42	40	0.7578	0.8566	0.8042	experiments/results/groupsize_zvf_sweep.json
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B			4	123	40	0.7812	0.8680	0.8345	experiments/results/groupsize_zvf_sweep.json
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B			4	456	40	0.7516	0.8629	0.9051	experiments/results/groupsize_zvf_sweep.json
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B			8	42	40	0.7016	0.8656	0.7844	experiments/results/groupsize_zvf_sweep.json
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B			8	123	40	0.6922	0.8711	0.8439	experiments/results/groupsize_zvf_sweep.json
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B			8	456	40	0.6781	0.8715	0.8481	experiments/results/groupsize_zvf_sweep.json
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B			16	42	40	0.6219	0.8712	0.8118	experiments/results/groupsize_zvf_sweep.json
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B			16	123	40	0.6344	0.8783	0.7716	experiments/results/groupsize_zvf_sweep.json
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B			16	456	40	0.6375	0.8697	0.7890	experiments/results/groupsize_zvf_sweep.json
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B		grpo		42	40	0.8250	0.9195	0.8238	experiments/results/drgrpo_vs_grpo.json
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B		grpo		123	40	0.8109	0.9143	0.8848	experiments/results/drgrpo_vs_grpo.json
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B		grpo		456	40	0.8094	0.9227	0.8704	experiments/results/drgrpo_vs_grpo.json
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B		grpo		789	40	0.8125	0.9229	0.9115	experiments/results/drgrpo_vs_grpo.json
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B		grpo		1024	40	0.8172	0.9215	0.8391	experiments/results/drgrpo_vs_grpo.json
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B		dr_grpo		42	40	0.7703	0.8998	0.7902	experiments/results/drgrpo_vs_grpo.json
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B		dr_grpo		123	40	0.7641	0.9031	0.8274	experiments/results/drgrpo_vs_grpo.json
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B		dr_grpo		456	40	0.7469	0.9021	0.8762	experiments/results/drgrpo_vs_grpo.json
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B		dr_grpo		789	40	0.7719	0.9059	0.8864	experiments/results/drgrpo_vs_grpo.json
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B		dr_grpo		1024	40	0.8125	0.9230	0.8658	experiments/results/drgrpo_vs_grpo.json
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B		grpo		42	40	0.8469	0.9182	0.7953	experiments/results/samestack_ppo_grpo.json
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B		grpo		123	40	0.8125	0.9170	0.8488	experiments/results/samestack_ppo_grpo.json
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B		grpo		456	40	0.8187	0.9227	0.8657	experiments/results/samestack_ppo_grpo.json
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B		grpo		789	40	0.8281	0.9191	0.8927	experiments/results/samestack_ppo_grpo.json
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B		grpo		1024	40	0.8438	0.9326	0.8561	experiments/results/samestack_ppo_grpo.json
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B		ppo		42	40	NA	0.6857	NA	experiments/results/samestack_ppo_grpo.json
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B		ppo		123	40	NA	0.7844	NA	experiments/results/samestack_ppo_grpo.json
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B		ppo		456	40	NA	0.2598	NA	experiments/results/samestack_ppo_grpo.json
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B		ppo		789	40	NA	0.7322	NA	experiments/results/samestack_ppo_grpo.json
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B		ppo		1024	40	NA	0.7412	NA	experiments/results/samestack_ppo_grpo.json
variance_mitigation	GRPO	grpo			0	300	0.4813	0.2627	0.9264	experiments/results/variance_mitigation.tsv
variance_mitigation	GRPO	grpo			1	300	0.4793	0.2626	0.9244	experiments/results/variance_mitigation.tsv
variance_mitigation	GRPO	grpo			2	300	0.4803	0.2630	0.9218	experiments/results/variance_mitigation.tsv
variance_mitigation	GRPO	grpo			3	300	0.4806	0.2626	0.9191	experiments/results/variance_mitigation.tsv
variance_mitigation	GRPO	grpo			4	300	0.4824	0.2625	0.9194	experiments/results/variance_mitigation.tsv
variance_mitigation	AERO	aero			0	100	0.2215	0.2769	0.7496	experiments/results/variance_mitigation.tsv
variance_mitigation	AERO	aero			1	100	0.2185	0.2771	0.7398	experiments/results/variance_mitigation.tsv
variance_mitigation	AERO	aero			2	100	0.2219	0.2776	0.7405	experiments/results/variance_mitigation.tsv
variance_mitigation	AERO	aero			3	100	0.2178	0.2770	0.7290	experiments/results/variance_mitigation.tsv
variance_mitigation	AERO	aero			4	100	0.2216	0.2772	0.7396	experiments/results/variance_mitigation.tsv
variance_mitigation	CPPO	cppo			0	100	0.2951	0.2724	0.8046	experiments/results/variance_mitigation.tsv
variance_mitigation	CPPO	cppo			1	100	0.2980	0.2718	0.8060	experiments/results/variance_mitigation.tsv
variance_mitigation	CPPO	cppo			2	100	0.2964	0.2717	0.8062	experiments/results/variance_mitigation.tsv
variance_mitigation	CPPO	cppo			3	100	0.2946	0.2725	0.8019	experiments/results/variance_mitigation.tsv
variance_mitigation	CPPO	cppo			4	100	0.2919	0.2721	0.8080	experiments/results/variance_mitigation.tsv
variance_mitigation	NGRPO	ngrpo			0	100	0.3036	0.2683	0.8218	experiments/results/variance_mitigation.tsv
variance_mitigation	NGRPO	ngrpo			1	100	0.3020	0.2692	0.8243	experiments/results/variance_mitigation.tsv
variance_mitigation	NGRPO	ngrpo			2	100	0.2994	0.2680	0.8148	experiments/results/variance_mitigation.tsv
variance_mitigation	NGRPO	ngrpo			3	100	0.2975	0.2683	0.8155	experiments/results/variance_mitigation.tsv
variance_mitigation	NGRPO	ngrpo			4	100	0.2993	0.2681	0.8238	experiments/results/variance_mitigation.tsv
variance_mitigation	SCAFGRPO	scafgrpo			0	100	0.3151	0.2831	0.8793	experiments/results/variance_mitigation.tsv
variance_mitigation	SCAFGRPO	scafgrpo			1	100	0.3126	0.2838	0.8557	experiments/results/variance_mitigation.tsv
