# zvf_iter110_leadtime.tsv -- per-(kind, method) pooled lead-steps
# statistics from zvf_dynamics_leadtime.tsv. 'lead_steps' is the
# difference (first_collapse_step - first_pass_step): the number
# of training steps the collapse indicator lags the ZVF crossing
# of theta. +ve = ZVF leads collapse, -ve = collapse leads ZVF,
# 0 = same step. Source: scripts/zvf_discrimination_iter110.py
kind	method	theta_sat	n_runs	median_lead_steps	iqr_lead_steps_lo	iqr_lead_steps_hi	median_first_pass_step	share_lead_positive	share_no_collapse
groupsize_zvf_sweep	grpo_G16	0.5	3	-9.0	-9.5	-9.0	13.0	0.0	0.0
groupsize_zvf_sweep	grpo_G16	0.7	3	-12.0	-12.5	-12.0	16.0	0.0	0.0
groupsize_zvf_sweep	grpo_G16	0.9	3	-18.0	-19.5	-16.0	21.0	0.0	0.0
groupsize_zvf_sweep	grpo_G2	0.5	3	4.0	3.0	4.0	0.0	1.0	0.0
groupsize_zvf_sweep	grpo_G2	0.7	3	4.0	-1.5	4.0	0.0	0.6667	0.0
groupsize_zvf_sweep	grpo_G2	0.9	3	-11.0	-11.5	-11.0	15.0	0.0	0.0
groupsize_zvf_sweep	grpo_G4	0.5	3	-4.0	-4.0	0.0	7.0	0.3333	0.0
groupsize_zvf_sweep	grpo_G4	0.7	3	-8.0	-9.5	-7.0	11.0	0.0	0.0
groupsize_zvf_sweep	grpo_G4	0.9	3	-11.0	-12.5	-11.0	15.0	0.0	0.0
groupsize_zvf_sweep	grpo_G8	0.5	3	-8.0	-8.5	-6.0	11.0	0.0	0.0
groupsize_zvf_sweep	grpo_G8	0.7	3	-10.0	-11.0	-9.5	13.0	0.0	0.0
groupsize_zvf_sweep	grpo_G8	0.9	3	-12.0	-14.0	-11.5	15.0	0.0	0.0
variance_mitigation	grpo	0.8	1	3.0	3.0	3.0	219.0	1.0	0.0
variance_mitigation	grpo	0.9	2	1.0	1.0	1.0	247.5	1.0	0.0
