# Pillar 2 iter82 ZVF hazard / survival reframing
# Source: scripts/zvf_iter82.py
# Hazard: h(t) = P(collapse at t+1 | alive at t)
# Alarm threshold: ZVF > 0.5
source	method	seed	n_steps	t_fail	failed	mean_zvf	peak_zvf	zvf_run_max	zvf_iat	acc_pre_drift	mean_acc	mean_composite_ews	zvf_quartile
bfclv4_tool_use	tool_use	0	5	-1	0	0.8	1	2	1.33333	0	0.05	0.12	high
bfclv4_tool_use	tool_use	1	5	-1	0	0	0	0	nan	0.0125	0.175	0	low
groupsize_zvf_sweep	groupsize	123	40	19	1	0.739844	1	32	0.319672	-4.19896e-17	0.979004	0.551306	high
groupsize_zvf_sweep	groupsize	42	40	19	1	0.726953	1	31	0.327731	0	0.977148	0.658307	high
groupsize_zvf_sweep	groupsize	456	40	19	1	0.725781	1	31	0.322314	4.19896e-17	0.972851	0.54673	high
tinker_gsm8k_zvf	tinker_gsm8k	123	1	-1	0	0.19	0.19	0	nan	0	0.7125	0	mid
tinker_gsm8k_zvf	tinker_gsm8k	42	1	-1	0	0.13	0.13	0	nan	0	0.696875	0	low
tinker_gsm8k_zvf	tinker_gsm8k	456	1	-1	0	0.155	0.155	0	nan	0	0.673125	0	mid
variance_mitigation	aero	0	100	87	1	0.221538	0.7041	23	1	0.00193204	0.276933	0.369069	mid
variance_mitigation	aero	1	100	87	1	0.218538	0.7435	23	1	0.00183008	0.277135	0.337385	mid
variance_mitigation	aero	2	100	87	1	0.221876	0.7199	24	1	0.0019424	0.277571	0.359789	mid
variance_mitigation	aero	3	100	87	1	0.217755	0.7521	23	1	0.00194863	0.276962	0.389576	mid
variance_mitigation	aero	4	100	88	1	0.22156	0.7385	21	1.04545	0.00186529	0.277198	0.443923	mid
variance_mitigation	areal	0	110	-1	0	0.111782	0.5316	5	1.8	0.00399507	0.256616	0.407203	low
variance_mitigation	areal	1	100	-1	0	0.123197	0.5149	1	nan	0.0037594	0.280603	0.303621	low
variance_mitigation	areal	2	100	-1	0	0.12152	0.5809	2	2	0.00377918	0.280067	0.2997	low
variance_mitigation	areal	3	100	-1	0	0.12387	0.5826	4	1.25	0.00377891	0.280059	0.307048	low
variance_mitigation	areal	4	100	-1	0	0.124054	0.5733	2	1.5	0.00376575	0.280453	0.337624	low
variance_mitigation	cppo	0	100	78	1	0.295085	0.8353	30	1.06452	0.00233539	0.272404	0.390845	mid
variance_mitigation	cppo	1	100	77	1	0.298018	0.8477	31	1.03125	0.00230392	0.271849	0.420119	mid
variance_mitigation	cppo	2	100	77	1	0.296351	0.8332	32	1	0.00237976	0.271662	0.415222	mid
variance_mitigation	cppo	3	100	78	1	0.294552	0.8225	32	1	0.00220118	0.272526	0.400287	mid
variance_mitigation	cppo	4	100	77	1	0.291947	0.8117	32	1	0.00231637	0.272051	0.3773	mid
variance_mitigation	es	0	110	-1	0	0.105579	0.3027	0	nan	0.00385988	0.247842	0.43675	low
variance_mitigation	es	1	100	-1	0	0.115015	0.2919	0	nan	0.00364009	0.271221	0.43707	low
variance_mitigation	es	2	100	-1	0	0.116312	0.3139	0	nan	0.00362153	0.271353	0.479917	low
variance_mitigation	es	3	100	-1	0	0.11506	0.2901	0	nan	0.00364026	0.270888	0.516533	low
variance_mitigation	es	4	100	-1	0	0.119093	0.2942	0	nan	0.00364307	0.270904	0.490623	low
variance_mitigation	gift	0	110	-1	0	0.105285	0.5322	4	1.25	0.00399636	0.255208	0.355596	low
variance_mitigation	gift	1	100	-1	0	0.117643	0.5628	2	2.66667	0.00374903	0.279314	0.270966	low
variance_mitigation	gift	2	100	-1	0	0.115699	0.5379	1	2	0.00374759	0.278949	0.321867	low
variance_mitigation	gift	3	100	-1	0	0.115071	0.5447	4	1	0.0037488	0.279148	0.307555	low
variance_mitigation	gift	4	100	-1	0	0.117312	0.5789	2	2.5	0.00374457	0.279218	0.271659	low
variance_mitigation	grpo	0	300	152	1	0.48131	0.9308	159	1	0.00105326	0.262717	0.630313	high
variance_mitigation	grpo	1	300	153	1	0.479334	0.9056	159	1	0.00117951	0.262605	0.684916	high
variance_mitigation	grpo	2	300	153	1	0.480324	0.918	156	1	0.00135511	0.263049	0.681062	high
