task	algo	seed	model	n_steps	first5_reward	last10_reward	reward_half_delta	first5_len	last10_len	len_half_delta	spearman_step_len_rho	spearman_step_len_p	spearman_step_reward_rho	spearman_step_reward_p	spearman_len_reward_rho	spearman_len_reward_p	len_slope_per_step	rew_slope_per_step	mean_zvf	length_bias_flag
arithmetic_easy_qwen2.5-0.5b	grpo	42	Qwen/Qwen2.5-0.5B	40	0.528125	0.978906	0.135156	6.1719	4.5492	-0.4023	-0.2797	0.0804	0.6236	0.0	-0.2809	0.0791	-0.027657	0.008663	0.825	0
arithmetic_easy_qwen2.5-0.5b	grpo	123	Qwen/Qwen2.5-0.5B	40	0.560937	0.985938	0.136328	6.0625	4.5305	-0.2855	-0.199	0.2183	0.6639	0.0	-0.3635	0.0211	-0.025687	0.0084	0.810937	0
arithmetic_easy_qwen2.5-0.5b	grpo	456	Qwen/Qwen2.5-0.5B	40	0.559375	0.989844	0.140625	6.0453	4.4625	-0.4262	-0.3892	0.0131	0.7987	0.0	-0.2909	0.0686	-0.02835	0.008617	0.809375	0
arithmetic_easy_qwen2.5-0.5b	grpo	789	Qwen/Qwen2.5-0.5B	40	0.548438	0.994531	0.136328	6.1672	4.493	-0.4648	-0.5201	0.0006	0.7951	0.0	-0.525	0.0005	-0.03057	0.008597	0.8125	0
arithmetic_easy_qwen2.5-0.5b	grpo	1024	Qwen/Qwen2.5-0.5B	40	0.509375	0.991406	0.141406	6.2625	4.4969	-0.5824	-0.6349	0.0	0.6653	0.0	-0.6354	0.0	-0.036097	0.00901	0.817187	0
arithmetic_easy_qwen2.5-0.5b	dr_grpo	42	Qwen/Qwen2.5-0.5B	40	0.478125	0.971094	0.159766	6.1125	4.5367	-0.3738	-0.1775	0.2731	0.6266	0.0	-0.1104	0.4977	-0.025846	0.009845	0.770312	0
arithmetic_easy_qwen2.5-0.5b	dr_grpo	123	Qwen/Qwen2.5-0.5B	40	0.503125	0.9875	0.159375	5.9641	4.5234	-0.2953	-0.0811	0.6187	0.8203	0.0	-0.1098	0.5	-0.023056	0.009857	0.764062	0
arithmetic_easy_qwen2.5-0.5b	dr_grpo	456	Qwen/Qwen2.5-0.5B	40	0.528125	0.991406	0.178516	5.9938	4.5422	-0.3578	-0.31	0.0516	0.7665	0.0	-0.2981	0.0617	-0.02524	0.009958	0.746875	0
arithmetic_easy_qwen2.5-0.5b	dr_grpo	789	Qwen/Qwen2.5-0.5B	40	0.496875	0.992188	0.157813	6.1375	4.4938	-0.4375	-0.4634	0.0026	0.7653	0.0	-0.4511	0.0035	-0.029056	0.00995	0.771875	0
arithmetic_easy_qwen2.5-0.5b	dr_grpo	1024	Qwen/Qwen2.5-0.5B	40	0.525	0.998437	0.146875	6.0797	4.5	-0.4504	-0.5031	0.0009	0.7845	0.0	-0.4947	0.0012	-0.029035	0.009247	0.8125	0
gsm8k_cot_hard_qwen2.5-1.5b	grpo	42	Qwen/Qwen2.5-1.5B-Instruct	30	0.215625	0.273438	0.041667	195.7375	177.4281	-13.0208	-0.8643	0.0	0.1824	0.3347	-0.507	0.0042	-0.881598	0.002343	0.304167	0
gsm8k_cot_hard_qwen2.5-1.5b	grpo	123	Qwen/Qwen2.5-1.5B-Instruct	30	0.2875	0.2625	0.001042	193.7281	184.7891	-6.7031	-0.7157	0.0	-0.1334	0.4821	-0.2407	0.2001	-0.429369	-0.000706	0.333333	0
gsm8k_cot_hard_qwen2.5-1.5b	grpo	456	Qwen/Qwen2.5-1.5B-Instruct	30	0.21875	0.257812	-0.03125	195.3844	191.0969	-0.6323	-0.285	0.1269	0.0878	0.6445	-0.7563	0.0	-0.131017	0.00082	0.366667	0
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	42	Qwen/Qwen2.5-1.5B-Instruct	30	0.221875	0.25625	0.021875	192.6125	188.1891	-4.9146	-0.4456	0.0136	0.1133	0.551	-0.6079	0.0004	-0.318069	0.001338	0.320833	0
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	123	Qwen/Qwen2.5-1.5B-Instruct	30	0.26875	0.264062	0.009375	193.2906	186.6781	-4.3	-0.5519	0.0016	-0.0685	0.7191	-0.5054	0.0044	-0.276828	-0.000122	0.35	0
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	456	Qwen/Qwen2.5-1.5B-Instruct	30	0.20625	0.235937	-0.030208	195.7438	193.125	0.8021	-0.0674	0.7234	0.0312	0.8698	-0.741	0.0	-0.054157	0.000302	0.391667	0
