family	n	intercept	slope_per_log10N	se_slope	boot_slope_mean	boot_slope_lo	boot_slope_hi	boot_slope_excludes_0	perm_p_two_sided	anchors
dense	6	-0.2471	-0.7825	0.9761	-0.5071	-3.7036	2.8988	0	0.4237	Qwen3.5-4B;Qwen3-8B;Llama-3.1-8B-Instruct;Qwen3-32B;Qwen3.5-27B;Nemotron-120B
moe	6	0.1592	-0.3984	0.4936	-0.4751	-1.4263	0.6604	0	0.4412	gpt-oss-20B;Qwen3-30B-MoE;Qwen3-30B-MoE-Inst;DeepSeek-V3.1;Qwen3-235B-MoE;Kimi-K2-Thinking
