G_a	G_b	mean_a	mean_b	mean_diff	diff_ci_low	diff_ci_high	cohens_d	cohens_d_ci_low	cohens_d_ci_high	epsilon	tost_p_value	tost_equivalent_at_alpha_0.05
2	4	0.9770833333333333	0.9713541666666666	0.005729166666666674	0.0015625000000000222	0.009375000000000022	1.456985592771551	0.9237604307034061	4.618802153516944	0.01	0.01036897693084395	yes
2	4	0.9770833333333333	0.9713541666666666	0.005729166666666674	0.0015625000000000222	0.009375000000000022	1.456985592771551	0.9237604307034061	4.618802153516944	0.02	5.467857121719152e-15	yes
2	4	0.9770833333333333	0.9713541666666666	0.005729166666666674	0.0015625000000000222	0.009375000000000022	1.456985592771551	0.9237604307034061	4.618802153516944	0.05	2.6388543101518037e-127	yes
2	8	0.9770833333333333	0.9731770833333333	0.00390625	-0.005468750000000022	0.01171875	0.4490132550669365	-0.28867513459481287	2.670244995002031	0.01	0.06909919050363263	no
2	8	0.9770833333333333	0.9731770833333333	0.00390625	-0.005468750000000022	0.01171875	0.4490132550669365	-0.28867513459481287	2.670244995002031	0.02	4.5125513801151594e-05	yes
2	8	0.9770833333333333	0.9731770833333333	0.00390625	-0.005468750000000022	0.01171875	0.4490132550669365	-0.28867513459481287	2.670244995002031	0.05	1.73978693475012e-29	yes
2	16	0.9770833333333333	0.9837239583333334	-0.006640624999999956	-0.012109374999999978	0.0031250000000000444	-0.78331865189295	-17.32050807568806	-0.19245008972986918	0.01	0.19936122023892056	no
2	16	0.9770833333333333	0.9837239583333334	-0.006640624999999956	-0.012109374999999978	0.0031250000000000444	-0.78331865189295	-17.32050807568806	-0.19245008972986918	0.02	0.00039540044563390886	yes
2	16	0.9770833333333333	0.9837239583333334	-0.006640624999999956	-0.012109374999999978	0.0031250000000000444	-0.78331865189295	-17.32050807568806	-0.19245008972986918	0.05	3.0430162983133823e-46	yes
4	8	0.9713541666666666	0.9731770833333333	-0.001822916666666674	-0.007031250000000044	0.005468750000000022	-0.2802242691589023	-3.319764047840317	0.4330127018922211	0.01	0.003788847599207168	yes
4	8	0.9713541666666666	0.9731770833333333	-0.001822916666666674	-0.007031250000000044	0.005468750000000022	-0.2802242691589023	-3.319764047840317	0.4330127018922211	0.02	1.4607055565107885e-09	yes
4	8	0.9713541666666666	0.9731770833333333	-0.001822916666666674	-0.007031250000000044	0.005468750000000022	-0.2802242691589023	-3.319764047840317	0.4330127018922211	0.05	1.5116886295766068e-64	yes
4	16	0.9713541666666666	0.9837239583333334	-0.01236979166666663	-0.020312499999999956	-0.0031249999999999334	-1.4271602147244786	-4.720687495138729	-0.8922685978385053	0.01	0.7211070004535155	no
4	16	0.9713541666666666	0.9837239583333334	-0.01236979166666663	-0.020312499999999956	-0.0031249999999999334	-1.4271602147244786	-4.720687495138729	-0.8922685978385053	0.02	0.029565362426696273	yes
4	16	0.9713541666666666	0.9837239583333334	-0.01236979166666663	-0.020312499999999956	-0.0031249999999999334	-1.4271602147244786	-4.720687495138729	-0.8922685978385053	0.05	5.450909600349558e-54	yes
8	16	0.9731770833333333	0.9837239583333334	-0.010546874999999956	-0.016406249999999956	-0.006640624999999956	-2.0410081542498184	-7.043673284113394	-1.7551448183364546	0.01	0.589715768388677	no
8	16	0.9731770833333333	0.9837239583333334	-0.010546874999999956	-0.016406249999999956	-0.006640624999999956	-2.0410081542498184	-7.043673284113394	-1.7551448183364546	0.02	4.415704054783198e-05	yes
8	16	0.9731770833333333	0.9837239583333334	-0.010546874999999956	-0.016406249999999956	-0.006640624999999956	-2.0410081542498184	-7.043673284113394	-1.7551448183364546	0.05	1.860451298829183e-139	yes
