model	params_B	family	n_steps	mean_reward	var_reward	peak	trough	early_mean	late_mean	delta_late_minus_early	R_max	lambda	t_80	rmse	r2	lam_at_bound	trace_file	c_3p	R_max_3p	lambda_3p	t80_3p	rmse_3p	r2_3p	aicc_3p	lam_at_bound_3p	delta_aicc_3p_vs_2p
Qwen3.5-4B	4.0000	dense	30	0.8167	0.0463	1.0000	0.2500	0.8125	0.8500	0.0375	0.8167	10.0000	0.1609	0.2153	-0.0000	1	scale_gsm8k_qwen3.5-4b.json	0.7995	1.0000	0.3569	4.5091	0.2797	-0.6879	15.61	0	18.18
Qwen3-8B	8.0000	dense	30	0.2854	0.0288	0.6250	0.0000	0.2437	0.3438	0.1000	0.2854	10.0000	0.1609	0.1698	-0.0000	1	scale_gsm8k_qwen3-8b.json	0.2368	1.0500	0.0040	400.8912	0.1676	0.0254	-15.11	0	1.71
Llama-3.1-8B-Instruct	8.0000	dense	30	0.8688	0.0267	1.0000	0.3750	0.9250	0.8438	-0.0813	0.8688	10.0000	0.1609	0.1633	-0.0000	1	scale_gsm8k_llama-8b-inst.json	0.8261	1.0000	0.1278	12.5894	0.2004	-0.5065	-4.39	0	14.77
DeepSeek-V3.1	685.0000	moe	20	0.8438	0.0186	1.0000	0.5000	0.8333	0.8125	-0.0208	0.8438	10.0000	0.1609	0.1362	-0.0000	1	frontier_gsm8k_deepseek-v3.1.json	0.8428	0.9303	0.0011	1501.3619	0.1362	0.0000	-15.48	0	2.79
Nemotron-120B	120.0000	dense	20	0.1750	0.0600	0.8750	0.0000	0.1458	0.2083	0.0625	0.1820	0.9902	1.6253	0.2433	0.0137	0	frontier_gsm8k_nemotron-120b.json	0.0000	0.1820	0.9903	1.6253	0.2433	0.0137	7.71	0	2.79
