task	algo	n_seeds	corr_dominantlag_vs_rho_k-1	p_corr_dominantlag_vs_rho_k-1	corr_dominantlag_vs_rho_k+0	p_corr_dominantlag_vs_rho_k+0	corr_dominantlag_vs_rho_k+1	p_corr_dominantlag_vs_rho_k+1	corr_meanL_vs_rho_k+1	p_corr_meanL_vs_rho_k+1	corr_meanL_vs_rho_k+0	p_corr_meanL_vs_rho_k+0	corr_meanL_vs_rho_k-1	p_corr_meanL_vs_rho_k-1
arithmetic_easy	dr_grpo	5	0.3671028479891897	0.5433116742787935	0.22786997450284224	0.7123977123504646	0.20064057324281	0.7462610068332635	-0.8471794349365742	0.07004739083191792	-0.7097748930081731	0.17929251262457746	-0.8099765296734364	0.09655200823090447
arithmetic_easy	grpo	5	0.7016128720975378	0.1866554859726585	0.30382191123326424	0.6191985358071739	0.01074579952118375	0.9863182864290725	-0.4956910620306254	0.3957603012250736	-0.73170351785429	0.15993960007226596	-0.08250099509481953	0.895075754149751
gsm8k_cot	dr_grpo	3							0.5774898506373008	0.6080646101819863	-0.9602812193275398	0.18002844432719112	-0.3635925382708248	0.7631001028271951
gsm8k_cot	grpo	3	0.6338495374872725	0.5629476783656185	0.8754055662765906	0.32118877050216016	0.9862390010097009	0.10573515120729567	0.2602890665916233	0.832364277561201	-0.39612150669065205	0.7407118007293417	0.8313371579746189	0.3751517504028787
