target_acc	G	T_min_tokens_M	reachable	is_argmin_at_target	argmin_G_at_target
0.55	4	3.9999999999999987	yes	no	16
0.55	8	1.6665240127970868	yes	no	16
0.55	16	1.655506559769623	yes	yes	16
0.55	32	2.11892618871859	yes	no	16
0.55	64	3.3383389318762036	yes	no	16
0.65	4	inf	no	no	16
0.65	8	3.4568875731264246	yes	no	16
0.65	16	3.1088125635418358	yes	yes	16
0.65	32	3.7754972507267723	yes	no	16
0.65	64	6.217625127083682	yes	no	16
0.75	4	inf	no	no	16
0.75	8	10.962807877760977	yes	no	16
0.75	16	7.584620114713388	yes	yes	16
0.75	32	7.999999999999998	yes	no	16
0.75	64	11.675840845451559	yes	no	16
0.85	4	inf	no	no	32
0.85	8	inf	no	no	32
0.85	16	64.0	yes	no	32
0.85	32	22.627416997969537	yes	yes	32
0.85	64	43.06880616423533	yes	no	32
