budget_tokens	delta_eq_bound	delta_mean	delta_se	delta_ci_lo	delta_ci_hi	p_lower_one_sided	p_upper_one_sided	p_tost	demonstrates_equivalence	ci_inside_equiv_bound	verdict
1000000	0.01	0.0102	0.0217	-0.0318	0.0526	0.1779	0.5048	0.5048	False	False	FAILS equivalence (Delta=+0.010 > +0.01)
4000000	0.01	0.1101	0.0214	0.0685	0.1521	0.0	1.0	1.0	False	False	FAILS equivalence (Delta=+0.110 > +0.01)
16000000	0.01	0.2098	0.0219	0.166	0.2526	0.0	1.0	1.0	False	False	FAILS equivalence (Delta=+0.210 > +0.01)
64000000	0.01	0.2401	0.0216	0.1986	0.2827	0.0	1.0	1.0	False	False	FAILS equivalence (Delta=+0.240 > +0.01)
1000000	0.024	0.0102	0.0217	-0.0318	0.0526	0.0563	0.2613	0.2613	False	False	INCONCLUSIVE (CI spans bound)
4000000	0.024	0.1101	0.0214	0.0685	0.1521	0.0	1.0	1.0	False	False	FAILS equivalence (Delta=+0.110 > +0.024)
16000000	0.024	0.2098	0.0219	0.166	0.2526	0.0	1.0	1.0	False	False	FAILS equivalence (Delta=+0.210 > +0.024)
64000000	0.024	0.2401	0.0216	0.1986	0.2827	0.0	1.0	1.0	False	False	FAILS equivalence (Delta=+0.240 > +0.024)
1000000	0.05	0.0102	0.0217	-0.0318	0.0526	0.0034	0.0333	0.0333	True	False	EQUIVALENCE demonstrated (|Delta|<=bound consistent with data)
4000000	0.05	0.1101	0.0214	0.0685	0.1521	0.0	0.9979	0.9979	False	False	FAILS equivalence (Delta=+0.110 > +0.05)
16000000	0.05	0.2098	0.0219	0.166	0.2526	0.0	1.0	1.0	False	False	FAILS equivalence (Delta=+0.210 > +0.05)
64000000	0.05	0.2401	0.0216	0.1986	0.2827	0.0	1.0	1.0	False	False	FAILS equivalence (Delta=+0.240 > +0.05)
