# Pillar 2 iter78 per-(method, threshold) alarm sweep.
# t_fail = first t with mean(zvf[max(0,t-19)..t+1]) >= 0.50 (stuck).
# EWS = max(ar1, cusum, h_run_frac). Alarm when composite > threshold.
# Source: scripts/zvf_iter78.py
method	threshold	n_traces	n_alarm	n_alarm_before_fail	n_late_alarm	n_miss	true_alarm_rate	late_alarm_rate	miss_rate	mean_lead_time	median_lead_time	min_lead_time	max_lead_time
aero	0.500000	5	5	5	0	0	1.000000	0.000000	0.000000	51.800000	45	37	80
aero	0.600000	5	5	5	0	0	1.000000	0.000000	0.000000	50.200000	41	37	80
aero	0.700000	5	5	5	0	0	1.000000	0.000000	0.000000	47.000000	37	26	80
aero	0.800000	5	5	5	0	0	1.000000	0.000000	0.000000	32.800000	26	23	55
aero	0.900000	5	5	5	0	0	1.000000	0.000000	0.000000	24.000000	23	22	28
cppo	0.500000	5	5	5	0	0	1.000000	0.000000	0.000000	41.000000	34	27	74
cppo	0.600000	5	5	5	0	0	1.000000	0.000000	0.000000	32.600000	34	25	39
cppo	0.700000	5	5	5	0	0	1.000000	0.000000	0.000000	26.000000	24	22	33
cppo	0.800000	5	5	5	0	0	1.000000	0.000000	0.000000	25.600000	23	22	33
cppo	0.900000	5	5	5	0	0	1.000000	0.000000	0.000000	22.800000	22	21	27
groupsize	0.500000	12	12	12	0	0	1.000000	0.000000	0.000000	11.750000	12.000000	4	16
groupsize	0.600000	12	12	12	0	0	1.000000	0.000000	0.000000	11.167000	11.000000	4	16
groupsize	0.700000	12	12	12	0	0	1.000000	0.000000	0.000000	11.000000	11.000000	3	16
groupsize	0.800000	12	12	12	0	0	1.000000	0.000000	0.000000	9.750000	9.500000	3	16
groupsize	0.900000	12	12	12	0	0	1.000000	0.000000	0.000000	9.250000	9.000000	3	16
grpo	0.500000	5	5	5	0	0	1.000000	0.000000	0.000000	148.200000	149	145	150
grpo	0.600000	5	5	5	0	0	1.000000	0.000000	0.000000	147.000000	147	145	148
grpo	0.700000	5	5	5	0	0	1.000000	0.000000	0.000000	141.600000	145	130	147
grpo	0.800000	5	5	5	0	0	1.000000	0.000000	0.000000	125.200000	121	114	144
grpo	0.900000	5	5	5	0	0	1.000000	0.000000	0.000000	89.400000	108	44	127
mcgrpo	0.500000	5	5	5	0	0	1.000000	0.000000	0.000000	64.800000	44	38	105
mcgrpo	0.600000	5	5	5	0	0	1.000000	0.000000	0.000000	61.200000	43	31	104
mcgrpo	0.700000	5	5	5	0	0	1.000000	0.000000	0.000000	46.600000	38	30	86
mcgrpo	0.800000	5	5	5	0	0	1.000000	0.000000	0.000000	40.000000	27	26	85
mcgrpo	0.900000	5	5	5	0	0	1.000000	0.000000	0.000000	25.400000	25	25	26
ngrpo	0.500000	5	5	5	0	0	1.000000	0.000000	0.000000	37.400000	35	27	56
ngrpo	0.600000	5	5	5	0	0	1.000000	0.000000	0.000000	36.200000	34	26	56
ngrpo	0.700000	5	5	5	0	0	1.000000	0.000000	0.000000	31.200000	26	22	56
ngrpo	0.800000	5	5	5	0	0	1.000000	0.000000	0.000000	29.400000	23	22	56
ngrpo	0.900000	5	5	5	0	0	1.000000	0.000000	0.000000	29.000000	23	21	56
