test	n	stat_or_intercept	boot_lo_or_slope	boot_hi_or_se	n_boot	perm_p_or_perm_lo	perm_lo_or_perm_hi	perm_hi_or_perm_hi	n_perm
spearman_rho(log10N, late_minus_early)	5	-0.3000	-0.8000	1.0000	1000	0.6883	-0.9000	0.9000	5000
ols(log10N, late_minus_early)	5	0.0329	-0.0091	0.0430	1000	n/a	n/a	n/a	5000
