# Per-library Iso-G sizing using mean_last10 as p_x proxy.
# delta_div = 0.122 (library-level mean from tinker_gsm8k; all
# variance-mitigation libraries share Tinker rollout workers).
# G_iid=-1 means the Y_target is unreachable within G_MAX=32.
# Source: scripts/zvf_iter46_isog.py
library	p_x	Y_target	G_iid	G_emp	dG
grpo	0.3791	0.50	3	2	1
grpo	0.3791	0.70	3	3	0
grpo	0.3791	0.80	4	3	1
grpo	0.3791	0.90	6	4	2
grpo	0.3791	0.95	7	4	3
aero	0.3993	0.50	3	2	1
aero	0.3993	0.70	3	3	0
aero	0.3993	0.80	4	3	1
aero	0.3993	0.90	5	4	1
aero	0.3993	0.95	7	4	3
cppo	0.3920	0.50	3	2	1
cppo	0.3920	0.70	3	3	0
cppo	0.3920	0.80	4	3	1
cppo	0.3920	0.90	5	4	1
cppo	0.3920	0.95	7	4	3
ngrpo	0.3874	0.50	3	2	1
ngrpo	0.3874	0.70	3	3	0
ngrpo	0.3874	0.80	4	3	1
ngrpo	0.3874	0.90	5	4	1
ngrpo	0.3874	0.95	7	4	3
scafgrpo	0.4088	0.50	3	2	1
scafgrpo	0.4088	0.70	3	3	0
scafgrpo	0.4088	0.80	4	3	1
scafgrpo	0.4088	0.90	5	4	1
scafgrpo	0.4088	0.95	6	4	2
mcgrpo	0.3221	0.50	3	2	1
mcgrpo	0.3221	0.70	4	3	1
mcgrpo	0.3221	0.80	5	4	1
mcgrpo	0.3221	0.90	6	4	2
mcgrpo	0.3221	0.95	8	5	3
gift	0.3259	0.50	3	2	1
gift	0.3259	0.70	4	3	1
gift	0.3259	0.80	5	4	1
gift	0.3259	0.90	6	4	2
gift	0.3259	0.95	8	5	3
areal	0.3283	0.50	3	2	1
areal	0.3283	0.70	4	3	1
areal	0.3283	0.80	5	4	1
areal	0.3283	0.90	6	4	2
areal	0.3283	0.95	8	5	3
es	0.3163	0.50	3	2	1
es	0.3163	0.70	4	3	1
es	0.3163	0.80	5	4	1
es	0.3163	0.90	7	5	2
es	0.3163	0.95	8	5	3
gsm8k_real	0.6942	0.50	3	2	1
gsm8k_real	0.6942	0.70	4	3	1
gsm8k_real	0.6942	0.80	5	4	1
gsm8k_real	0.6942	0.90	7	5	2
gsm8k_real	0.6942	0.95	9	5	4
arithmetic_groupsize	0.9764	0.50	30	20	10
arithmetic_groupsize	0.9764	0.70	-1	-1	NA
arithmetic_groupsize	0.9764	0.80	-1	-1	NA
arithmetic_groupsize	0.9764	0.90	-1	-1	NA
arithmetic_groupsize	0.9764	0.95	-1	-1	NA
tool_use	0.0000	0.50	-1	-1	NA
tool_use	0.0000	0.70	-1	-1	NA
tool_use	0.0000	0.80	-1	-1	NA
tool_use	0.0000	0.90	-1	-1	NA
tool_use	0.0000	0.95	-1	-1	NA
tool_use	0.0000	0.50	-1	-1	NA
tool_use	0.0000	0.70	-1	-1	NA
tool_use	0.0000	0.80	-1	-1	NA
tool_use	0.0000	0.90	-1	-1	NA
tool_use	0.0000	0.95	-1	-1	NA
drgrpo_vs_grpo	0.9881	0.50	-1	-1	NA
drgrpo_vs_grpo	0.9881	0.70	-1	-1	NA
drgrpo_vs_grpo	0.9881	0.80	-1	-1	NA
drgrpo_vs_grpo	0.9881	0.90	-1	-1	NA
drgrpo_vs_grpo	0.9881	0.95	-1	-1	NA
