log10_C_target	predicted_R_max	winner_model	winner_params_B	winner_log10_P	winner_arch
4.5178	0.6372	Qwen3.5-4B	4.0	0.6021	dense
4.5707	0.6529	Qwen3.5-4B	4.0	0.6021	dense
4.6236	0.6687	Qwen3.5-4B	4.0	0.6021	dense
4.6765	0.6844	Qwen3.5-4B	4.0	0.6021	dense
4.7294	0.7002	Qwen3.5-4B	4.0	0.6021	dense
4.7823	0.7159	Qwen3.5-4B	4.0	0.6021	dense
4.8352	0.7317	Qwen3.5-4B	4.0	0.6021	dense
4.8882	0.7474	Qwen3.5-4B	4.0	0.6021	dense
4.9411	0.7632	Qwen3.5-4B	4.0	0.6021	dense
4.994	0.7789	Qwen3.5-4B	4.0	0.6021	dense
5.0469	0.7947	Qwen3.5-4B	4.0	0.6021	dense
5.0998	0.8104	Qwen3.5-4B	4.0	0.6021	dense
5.1527	0.8261	Qwen3.5-4B	4.0	0.6021	dense
5.2056	0.8419	Qwen3.5-4B	4.0	0.6021	dense
5.2585	0.8576	Qwen3.5-4B	4.0	0.6021	dense
5.3114	0.8734	Qwen3.5-4B	4.0	0.6021	dense
5.3643	0.8891	Qwen3.5-4B	4.0	0.6021	dense
5.4172	0.9049	Qwen3.5-4B	4.0	0.6021	dense
5.4701	0.9206	Qwen3.5-4B	4.0	0.6021	dense
5.5231	0.9364	Qwen3.5-4B	4.0	0.6021	dense
5.576	0.9521	Qwen3.5-4B	4.0	0.6021	dense
5.6289	0.9679	Qwen3.5-4B	4.0	0.6021	dense
5.6818	0.9836	Qwen3.5-4B	4.0	0.6021	dense
5.7347	0.9993	Qwen3.5-4B	4.0	0.6021	dense
5.7876	1.0151	Qwen3.5-4B	4.0	0.6021	dense
5.8405	1.0308	Qwen3.5-4B	4.0	0.6021	dense
5.8934	1.0466	Qwen3.5-4B	4.0	0.6021	dense
5.9463	1.0623	Qwen3.5-4B	4.0	0.6021	dense
5.9992	1.0781	Qwen3.5-4B	4.0	0.6021	dense
6.0521	1.0938	Qwen3.5-4B	4.0	0.6021	dense
6.105	1.1096	Qwen3.5-4B	4.0	0.6021	dense
6.158	1.1253	Qwen3.5-4B	4.0	0.6021	dense
6.2109	1.1411	Qwen3.5-4B	4.0	0.6021	dense
6.2638	1.1568	Qwen3.5-4B	4.0	0.6021	dense
6.3167	1.1726	Qwen3.5-4B	4.0	0.6021	dense
6.3696	1.1883	Qwen3.5-4B	4.0	0.6021	dense
6.4225	1.204	Qwen3.5-4B	4.0	0.6021	dense
6.4754	1.2198	Qwen3.5-4B	4.0	0.6021	dense
6.5283	1.2355	Qwen3.5-4B	4.0	0.6021	dense
6.5812	1.2513	Qwen3.5-4B	4.0	0.6021	dense
6.6341	1.267	Qwen3.5-4B	4.0	0.6021	dense
6.687	1.2828	Qwen3.5-4B	4.0	0.6021	dense
6.7399	1.2985	Qwen3.5-4B	4.0	0.6021	dense
6.7929	1.3143	Qwen3.5-4B	4.0	0.6021	dense
6.8458	1.33	Qwen3.5-4B	4.0	0.6021	dense
6.8987	1.3458	Qwen3.5-4B	4.0	0.6021	dense
6.9516	1.3615	Qwen3.5-4B	4.0	0.6021	dense
7.0045	1.3772	Qwen3.5-4B	4.0	0.6021	dense
7.0574	1.393	Qwen3.5-4B	4.0	0.6021	dense
7.1103	1.4087	Qwen3.5-4B	4.0	0.6021	dense
