held_out	params_B	arch	rmax_observed	rmax_predicted	residual	abs_residual	alpha_logP_loo	alpha_logC_loo	intercept_loo	delta_alpha_logP	delta_alpha_logC
Qwen3.5-4B	4.0	dense	1.0	0.6198222302565966	0.38017776974340345	0.38017776974340345	0.04042931236439114	0.09945507398915551	0.38869623414256466	0.1204398060822203	-0.0620430253538202
Qwen3-8B	8.0	dense	0.375	0.8859102218354508	-0.5109102218354508	0.5109102218354508	-0.22235472432117134	0.24974924760616457	0.4922605801690463	-0.14234423060334217	0.08825114826318886
Llama-3.1-8B-Instruct	8.0	dense	1.0	0.6909626584250256	0.3090373415749744	0.3090373415749744	0.006090117963336869	0.10811709601871913	0.42812120650776786	0.08610061168116603	-0.053381003324256576
Qwen3-32B	32.0	dense	0.312	0.7590715827339759	-0.4470715827339759	0.4470715827339759	0.01899768223988683	0.04366559031956285	0.6439201781583213	0.099008175957716	-0.11783250902341286
Qwen3.5-27B	27.0	dense	0.656	0.6427112184247736	0.013288781575226394	0.013288781575226394	-0.08282902563141896	0.16503162859825138	0.4463092935132746	-0.0028185319135898	0.003533529255275669
gpt-oss-20B	20.0	moe	1.0	0.7526974079277426	0.24730259207225735	0.24730259207225735	-0.02359453426642638	0.11566247537713464	0.462066754150631	0.05641595945140278	-0.045835623965841066
Qwen3-30B-MoE	30.0	moe	0.44958005711260396	0.7262266637278687	-0.27664660661526475	0.27664660661526475	-0.0457316029049905	0.1162860504588531	0.5407287284376115	0.03427889081283866	-0.04521204888412261
Qwen3-30B-MoE-Inst	30.0	moe	1.0	0.5378972955274934	0.46210270447250656	0.46210270447250656	-0.18070430347439673	0.2837026894500934	0.2503956072432009	-0.10069380975656757	0.1222045901071177
DeepSeek-V3.1	685.0	moe	1.0	0.8355158922301549	0.16448410776984512	0.16448410776984512	-0.0867830275282751	0.1362034392864802	0.5181701365438306	-0.006772533810445944	-0.0252946600564955
Nemotron-120B	120.0	dense	0.28125	0.9276169051402582	-0.6463669051402582	0.6463669051402582	-0.11543052401286397	0.24540370182957533	0.3381015342072815	-0.03542003029503481	0.08390560248659962
Qwen3-235B-MoE	235.0	moe	1.0	0.6643429970312646	0.33565700296873535	0.33565700296873535	-0.17344970680115823	0.2216591806002532	0.4165829386992476	-0.09343921308332907	0.06016108125727748
Kimi-K2-Thinking	1000.0	moe	1.0	0.8392228953294973	0.16077710467050266	0.16077710467050266	-0.08998175835535029	0.1359364561738875	0.5245013948873958	-0.009971264637521127	-0.02556164316908821
