task	metric	n_pairs	mean_grpo	mean_drgrpo	mean_diff	ci_lo	ci_hi	p_le0
arithmetic_easy	asymmetry_delta = slope_q90 - slope_q10	5	0.028238	0.033447	0.005209	-0.000114	0.011873	0.03
gsm8k_cot	asymmetry_delta = slope_q90 - slope_q10	3	0.003014	0.003787	0.000773	-0.000382	0.001907	0.034
arithmetic_easy	zvf_bin=low	19	-0.208321	nan	0.035345	nan	nan	nan
arithmetic_easy	zvf_bin=mid	13	-0.241473	nan	0.046151	nan	nan	nan
arithmetic_easy	zvf_bin=high	168	-0.01031	nan	0.027238	nan	nan	nan
arithmetic_easy	zvf_bin=low	23	nan	-0.208826	0.038054	nan	nan	nan
arithmetic_easy	zvf_bin=mid	14	nan	-0.188908	0.049677	nan	nan	nan
arithmetic_easy	zvf_bin=high	163	nan	0.032826	0.03547	nan	nan	nan
gsm8k_cot	zvf_bin=low	19	-0.004101	nan	0.002699	nan	nan	nan
gsm8k_cot	zvf_bin=mid	47	-0.004341	nan	0.00213	nan	nan	nan
gsm8k_cot	zvf_bin=high	24	-0.006471	nan	0.002751	nan	nan	nan
gsm8k_cot	zvf_bin=low	11	nan	-0.005504	0.005356	nan	nan	nan
gsm8k_cot	zvf_bin=mid	52	nan	-0.013146	0.002557	nan	nan	nan
gsm8k_cot	zvf_bin=high	27	nan	-0.011511	0.001975	nan	nan	nan
