budget_tokens	delta_acc_G32_minus_G4	delta_ci_low	delta_ci_high	se	z_vs_zero	wu_implied_delta_at_acc_g32	z_vs_wu_implied	ci_excludes_zero	favors_G32_over_G4
1000000	0.01	-0.0324	0.0524	0.0216	0.462	-0.0101	0.928	False	False
4000000	0.11	0.0676	0.1524	0.0216	5.082	-0.0158	5.814	True	True
16000000	0.21	0.1676	0.2524	0.0216	9.702	-0.0202	10.633	True	True
64000000	0.24	0.1976	0.2824	0.0216	11.087	-0.0211	12.063	True	True
