task	algo	seed	window	n_in_window	phi_L	phi_R	bwd	fwd	bwd_signed	fwd_signed	abs_bwd_signed
arithmetic_easy	dr_grpo	42	0	10	0.6802	0.7648	1.0259	0.4412	-0.5399	0.3945	0.5399
arithmetic_easy	dr_grpo	42	1	10	0.6491	0.1016	0.6940	0.6240	0.0555	-0.2280	0.0555
arithmetic_easy	dr_grpo	42	2	10	-0.4893	-0.1296	1.1836	0.6630	0.2305	-0.6630	0.2305
arithmetic_easy	dr_grpo	42	3	10	-0.1583	-0.2366	0.5441	0.5082	0.1557	0.3144	0.1557
arithmetic_easy	dr_grpo	123	0	10	0.7350	0.7376	1.1777	0.3948	0.2822	0.3948	0.2822
arithmetic_easy	dr_grpo	123	1	10	0.3892	-0.2008	1.4164	0.1748	0.4997	-0.0456	0.4997
arithmetic_easy	dr_grpo	123	2	10	0.6541	0.0167	0.6727	0.7206	-0.5122	0.2639	0.5122
arithmetic_easy	dr_grpo	123	3	10	0.0527	0.0619	1.1193	0.7264	-0.3457	-0.6834	0.3457
arithmetic_easy	dr_grpo	456	0	10	0.6673	0.7751	0.4173	0.5258	0.1534	0.5258	0.1534
arithmetic_easy	dr_grpo	456	1	10	-0.2141	-0.8242	0.3538	0.1703	0.2694	0.1368	0.2694
arithmetic_easy	dr_grpo	456	2	10	-0.2588	-0.1921	0.8533	0.9412	0.2539	-0.4300	0.2539
arithmetic_easy	dr_grpo	456	3	10	-0.0043	-0.0816	1.4380	0.4157	0.1160	-0.0204	0.1160
arithmetic_easy	dr_grpo	789	0	10	0.6025	0.7943	0.7633	1.4308	-0.5528	-0.6751	0.5528
arithmetic_easy	dr_grpo	789	1	10	-0.1451	0.0365	1.0536	0.9475	0.1234	0.3243	0.1234
arithmetic_easy	dr_grpo	789	2	10	-0.4581	-0.3244	0.8736	0.4409	-0.8736	0.3374	0.8736
arithmetic_easy	dr_grpo	789	3	10	0.2083	-1.2500	0.1607	0.3289	0.1607	0.2255	0.1607
arithmetic_easy	dr_grpo	1024	0	10	0.5992	0.7553	0.7087	0.9601	0.1574	0.2108	0.1574
arithmetic_easy	dr_grpo	1024	1	10	0.1816	-0.2836	0.7001	1.1969	-0.6661	0.6156	0.6661
arithmetic_easy	dr_grpo	1024	2	10	0.5000	-0.1977	1.0544	0.8738	0.0636	-0.1448	0.0636
arithmetic_easy	dr_grpo	1024	3	10	-0.3571	-0.2500	1.0455	0.8904	0.5295	-0.0533	0.5295
arithmetic_easy	grpo	42	0	10	0.6375	0.7000	1.1118	1.1975	0.4144	0.3109	0.4144
arithmetic_easy	grpo	42	1	10	0.6024	0.0322	0.8384	0.2988	-0.6207	-0.2988	0.6207
arithmetic_easy	grpo	42	2	10	-0.6095	0.0469	0.8270	0.4939	-0.5940	0.1179	0.5940
arithmetic_easy	grpo	42	3	10	-0.1725	0.1695	0.4760	1.2058	-0.3902	0.5856	0.3902
arithmetic_easy	grpo	123	0	10	0.5621	0.7175	0.3033	0.3470	0.1993	0.3021	0.1993
arithmetic_easy	grpo	123	1	10	0.1502	-0.0985	1.0297	1.0484	0.2268	0.1703	0.2268
arithmetic_easy	grpo	123	2	10	0.0980	-0.1112	0.4539	0.5776	-0.4539	0.5776	0.4539
arithmetic_easy	grpo	123	3	10	0.0964	0.3704	1.2398	0.8626	0.2535	0.8626	0.2535
arithmetic_easy	grpo	456	0	10	0.6677	0.7215	0.5119	0.6760	0.0061	0.4804	0.0061
arithmetic_easy	grpo	456	1	10	-0.3826	-0.1425	0.8701	0.7100	0.5279	0.3919	0.5279
arithmetic_easy	grpo	456	2	10	-0.2279	-0.1842	0.3475	1.1269	-0.2232	-0.1756	0.2232
arithmetic_easy	grpo	456	3	10	-0.2417	-0.1843	1.0179	0.2711	-0.7290	0.2711	0.7290
arithmetic_easy	grpo	789	0	10	0.6732	0.7931	1.1556	1.0203	-0.2404	0.3423	0.2404
arithmetic_easy	grpo	789	1	10	-0.1349	-0.1891	0.7160	1.0244	-0.1504	-0.1123	0.1504
arithmetic_easy	grpo	789	2	10	-0.2965	-0.2469	0.6552	1.0232	-0.6552	0.2909	0.6552
arithmetic_easy	grpo	789	3	10	0.2083	0.4970	0.0832	0.4038	0.0657	0.4038	0.0657
arithmetic_easy	grpo	1024	0	10	0.6707	0.7008	1.2850	0.8496	-0.5061	0.2376	0.5061
arithmetic_easy	grpo	1024	1	10	0.1093	-0.4841	0.6230	1.2255	-0.5704	0.7957	0.5704
arithmetic_easy	grpo	1024	2	10	0.4915	-0.1983	0.9080	0.5002	0.5048	-0.5002	0.5048
arithmetic_easy	grpo	1024	3	10	-0.3827	-0.5556	0.6007	1.2254	0.0811	0.0229	0.0811
gsm8k_cot	dr_grpo	42	0	7	-0.4713	-0.3539	0.7663	1.4069	0.7663	-0.6958	0.7663
gsm8k_cot	dr_grpo	42	1	8	0.2266	-0.0186	0.5257	1.2434	0.5257	-0.1690	0.5257
gsm8k_cot	dr_grpo	42	2	7	0.2539	-0.3106	0.9809	1.3391	0.4110	-0.0794	0.4110
gsm8k_cot	dr_grpo	42	3	8	0.3769	-0.5034	0.7070	0.6147	-0.0804	0.0318	0.0804
gsm8k_cot	dr_grpo	123	0	7	-0.2580	-0.1689	1.4710	0.5936	0.5493	0.0165	0.5493
gsm8k_cot	dr_grpo	123	1	8	-0.8083	-1.0657	0.7016	0.1844	0.7016	-0.0072	0.7016
gsm8k_cot	dr_grpo	123	2	7	-0.5499	-0.7102	0.5354	1.1564	0.0094	-0.0640	0.0094
gsm8k_cot	dr_grpo	123	3	8	0.0325	0.3402	1.0317	1.0855	1.0317	0.5507	1.0317
gsm8k_cot	dr_grpo	456	0	7	-0.1250	0.5302	1.0595	0.2684	-1.0445	0.0827	1.0445
gsm8k_cot	dr_grpo	456	1	8	-0.6535	-0.0297	0.5616	1.1153	0.0619	0.3756	0.0619
gsm8k_cot	dr_grpo	456	2	7	-0.2702	-0.1395	0.7943	0.9458	0.5647	0.5903	0.5647
gsm8k_cot	dr_grpo	456	3	8	-0.6662	-0.3452	0.5964	0.7934	0.5964	-0.3107	0.5964
gsm8k_cot	grpo	42	0	7	-0.3296	-0.4847	0.9996	0.7434	0.6954	0.2802	0.6954
gsm8k_cot	grpo	42	1	8	-0.0700	-0.2397	0.9993	0.6733	0.9993	-0.2743	0.9993
gsm8k_cot	grpo	42	2	7	0.2690	0.2450	1.1684	1.0185	-0.9520	1.0185	0.9520
gsm8k_cot	grpo	42	3	8	-0.0035	-0.3907	1.1942	0.8583	-0.2293	0.4701	0.2293
gsm8k_cot	grpo	123	0	7	-0.4109	-0.2643	1.0673	0.8485	0.1806	0.0043	0.1806
gsm8k_cot	grpo	123	1	8	-0.3326	-0.5644	0.6663	1.1932	0.5369	-0.5360	0.5369
gsm8k_cot	grpo	123	2	7	0.5099	0.0000	0.4088	1.3396	-0.4088	1.3396	0.4088
gsm8k_cot	grpo	123	3	8	0.0696	0.3297	0.8302	0.7277	0.4417	0.7277	0.4417
gsm8k_cot	grpo	456	0	7	1.3265	0.5126	1.1415	0.7662	-0.7210	-0.1284	0.7210
gsm8k_cot	grpo	456	1	8	-0.9215	-0.1525	0.7605	1.1089	0.5509	0.1976	0.5509
gsm8k_cot	grpo	456	2	7	-0.2373	-0.2334	0.7039	0.9226	0.4510	0.6757	0.4510
gsm8k_cot	grpo	456	3	8	-0.5390	-0.6823	1.6421	0.6035	1.6421	-0.6035	1.6421
