# Pillar 2 AERO-vs-GRPO gap stratified (iter 122).
# Per-seed gap report on the variance_mitigation suite (real
# measurement, K=8, 5 seeds). Negative gap_zvf means AERO has
# LOWER mean ZVF than GRPO (better contrast). Three row kinds:
#   per_seed  -- one row per seed index for full traceability
#   summary   -- across-seed mean gap with paired bootstrap CI
#                 (B=2000) and SD; matches iter 118 headline
#                 within rounding (-0.260 vs -0.2605)
#   bin_*     -- quantile-bin stratification; reports bin label,
#                 n_pairs in bin, mean gap (NOT bootstrap CI
#                 because n_pairs<=5 makes CI degenerately tight)
# Source: __ALREADY_platform_modal/scripts/__zvf_iso_yield_iter122.py
row_kind	seed	n_pairs	aero_zvf	grpo_zvf	gap_zvf	gap_zvf_ci_lo	gap_zvf_ci_hi	gap_zvf_sd	aero_last10	grpo_last10	gap_last10	gap_last10_sd
per_seed	0		0.2215	0.4813	0.2598				0.3992	0.3798	-0.0194	
per_seed	1		0.2185	0.4793	0.2608				0.3982	0.3792	-0.0189	
per_seed	2		0.2219	0.4803	0.2584				0.4005	0.3793	-0.0212	
per_seed	3		0.2178	0.4806	0.2629				0.3987	0.3782	-0.0205	
per_seed	4		0.2216	0.4824	0.2608				0.4001	0.3788	-0.0213	
summary	ALL		0.2203	0.4808	0.2605	0.2593	0.2618	0.0015	0.3993	0.3791	-0.0203	0.0010
bin_mid	mid	5	0.2203	0.4808	0.2605				0.3993	0.3791	-0.0203	
