experiment	n_pairs	phi_grpo	phi_drgrpo	phi_diff	phi_ci_lo	phi_ci_hi	phi_p_le0	half_life_grpo	half_life_drgrpo	half_life_diff	half_life_ci_lo	half_life_ci_hi	half_life_p_le0	resid_var_ratio	resid_var_log	resid_var_lo	resid_var_hi	resid_var_p_le0	lag0_diff	lag0_lo	lag0_hi	lag0_p	lag1_diff	lag1_lo	lag1_hi	lag1_p	lag2_diff	lag2_lo	lag2_hi	lag2_p
drgrpo_gsm8k_cot	3	-0.419053	-0.392761	0.026292	-0.102352	0.189868	0.403000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.694553	-0.364487	-0.822543	0.101507	0.965500	-0.039407	-0.251204	0.082898	0.704000	-0.083675	-0.268293	0.129891	0.855500	0.090558	0.058937	0.137039	0.000000
drgrpo_vs_grpo	5	-0.424832	-0.372387	0.052445	-0.023650	0.169832	0.204000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.997016	-0.002989	-0.303036	0.265117	0.510000	-0.006019	-0.211452	0.227114	0.551000	0.076000	-0.072548	0.256406	0.188500	-0.132590	-0.391332	0.098645	0.861000
