T_tokens	n_G	slope_dAcc_per_logG	intercept	r2_linear_acc_vs_logG	best_G	best_acc	acc_at_G4	acc_at_G32
1000000	5	-0.026	0.498	0.2967	8	0.48	0.41	0.42
4000000	5	0.0072	0.61	0.0167	16	0.69	0.55	0.66
16000000	5	0.0577	0.614	0.5731	32	0.84	0.63	0.84
64000000	5	0.0779	0.592	0.7462	32	0.88	0.64	0.88
