T_tokens	T_M	acc_G4	acc_G4_lo	acc_G4_hi	acc_G32	acc_G32_lo	acc_G32_hi	retention_R	retention_R_lo	retention_R_hi	wu_retention	delta_R_minus_wu	ratio_G_over_Gmax	wu_2octave_ratio	gu_G4	gu_G32
1000000	1.0	0.41	0.38	0.44	0.42	0.39	0.45	0.9761904761904762	0.8444444444444444	1.1282051282051282	0.976	0.00019047619047618536	0.0625	0.125	1.7223	0.3424
4000000	4.0	0.55	0.52	0.58	0.66	0.63	0.69	0.8333333333333334	0.7536231884057972	0.9206349206349206	0.976	-0.1426666666666666	0.0625	0.125	2.1287	0.4759
16000000	16.0	0.63	0.6	0.66	0.84	0.81	0.87	0.75	0.689655172413793	0.8148148148148148	0.976	-0.22599999999999998	0.0625	0.125	2.3311	0.5593
64000000	64.0	0.64	0.61	0.67	0.88	0.85	0.91	0.7272727272727273	0.6703296703296703	0.7882352941176471	0.976	-0.24872727272727269	0.0625	0.125	2.4177	0.5819
