task	metric	n_pairs	mean_grpo	mean_drgrpo	mean_diff	ci_lo	ci_hi	p_le0	interpretation
arithmetic_easy	slope_drho_dt	5	0.00239975	0.0025365	0.00013675	-2.103e-05	0.00024403	0.0555	inconclusive
arithmetic_easy	delta_rho	5	0.18885892	0.18809126	-0.00076766	-0.00456553	0.0027383	0.6398	inconclusive
arithmetic_easy	rho_last	5	0.21821451	0.2181452	-6.931e-05	-0.00301693	0.00348784	0.5824	inconclusive
gsm8k_cot	slope_drho_dt	3	8.41e-06	4.59e-06	-3.82e-06	-1.033e-05	2.05e-06	0.8518	inconclusive
gsm8k_cot	delta_rho	3	0.0005218	0.00048467	-3.712e-05	-0.00032434	0.00013618	0.7071	inconclusive
gsm8k_cot	rho_last	3	0.00160193	0.00170007	9.814e-05	-0.00032434	0.00047713	0.3767	inconclusive
arithmetic_easy	cumulative_tax_norm	5	0.0	0.0	0.0	0.0	0.0	1.0	inconclusive
gsm8k_cot	cumulative_tax_norm	3	0.086447	0.126573	0.040126	0.017788	0.070634	0.0002	Dr.GRPO pays more tax
arithmetic_easy	rho_final_over_rho0	5	8.018065	7.409507	-0.6085574	-2.1706698	0.5740362	0.7921	inconclusive
gsm8k_cot	rho_final_over_rho0	3	1.723008	1.512322	-0.21068633	-0.407111	0.083091	0.9633	inconclusive
arithmetic_easy	centroid_L	5	4.74848	4.7185	-0.02998	-0.06038	0.00042	0.9728	inconclusive
arithmetic_easy	centroid_dL	5	-0.079527	-0.072476	0.007051	-0.000601	0.0175074	0.0445	inconclusive
arithmetic_easy	rms_radius	5	0.72072	0.68942	-0.0313	-0.06926	-0.0037	0.9928	inconclusive
gsm8k_cot	centroid_L	3	189.694667	191.468567	1.7739	0.403	4.0006	0.0002	Dr.GRPO centroid_L higher
gsm8k_cot	centroid_dL	3	-0.537177	-0.321839	0.21533767	-0.005927	0.483297	0.0342	inconclusive
gsm8k_cot	rms_radius	3	9.193733	7.665967	-1.52776667	-4.7034	0.5065	0.8525	inconclusive
