model	params_B	n_steps	r_max_mean	r_max_lo	r_max_hi	lam_mean	lam_lo	lam_hi	t_80_mean	t_80_lo	t_80_hi	lam_at_bound_rate	n_boot	rss
Qwen3.5-4B	4.0	30	0.8180	0.7358	0.8921	6.6418	0.6615	10.0000	0.6059	0.1609	2.4330	0.599	1000	1.3901
Qwen3-8B	8.0	30	0.2894	0.2271	0.3563	5.2983	0.2113	10.0000	1.4225	0.1609	7.6193	0.468	1000	0.8647
Llama-3.1-8B-Instruct	8.0	30	0.8687	0.8055	0.9250	6.9206	0.8122	10.0000	0.4593	0.1609	1.9815	0.595	1000	0.7996
DeepSeek-V3.1	685.0	20	0.8469	0.7826	0.9062	6.4755	1.0552	10.0000	0.4743	0.1609	1.5252	0.548	1000	0.3711
Nemotron-120B	120.0	20	0.3097	0.0885	1.5000	3.2551	0.0100	10.0000	17.8676	0.1609	161.3899	0.277	1000	1.1836
