T_M	G	GU	acc	sqrt_G	EGT_proxy
1.0	4	0.8506	0.41	2.0	1.7012
1.0	8	0.9918	0.48	2.8284	2.805234
1.0	16	1.0	0.47	4.0	4.0
1.0	32	1.0	0.42	5.6569	5.656854
1.0	64	1.0	0.35	8.0	8.0
4.0	4	0.8675	0.55	2.0	0.43375
4.0	8	0.9593	0.67	2.8284	0.678328
4.0	16	0.9974	0.69	4.0	0.9974
4.0	32	1.0	0.66	5.6569	1.414214
4.0	64	1.0	0.58	8.0	2.0
16.0	4	0.8237	0.63	2.0	0.102962
16.0	8	0.863	0.78	2.8284	0.152558
16.0	16	0.9582	0.82	4.0	0.23955
16.0	32	0.9962	0.84	5.6569	0.35221
16.0	64	1.0	0.8	8.0	0.5
64.0	4	0.8154	0.64	2.0	0.025481
64.0	8	0.8322	0.8	2.8284	0.036778
64.0	16	0.9257	0.85	4.0	0.057856
64.0	32	0.9833	0.88	5.6569	0.086912
64.0	64	0.9999	0.87	8.0	0.124988
