target_acc	G_star	T_needed_M_star	T_needed_M_G4	T_needed_M_G8	T_needed_M_G16	T_needed_M_G32	T_needed_M_G64
0.50	4	4.0	4.0	4.0	4.0	4.0	4.0
0.55	4	4.0	4.0	4.0	4.0	4.0	4.0
0.60	8	4.0	16.0	4.0	4.0	4.0	16.0
0.65	8	4.0	NA	4.0	4.0	4.0	16.0
0.70	8	16.0	NA	16.0	16.0	16.0	16.0
0.75	8	16.0	NA	16.0	16.0	16.0	16.0
0.80	16	16.0	NA	64.0	16.0	16.0	16.0
0.85	16	64.0	NA	NA	64.0	64.0	64.0
0.88	32	64.0	NA	NA	NA	64.0	NA
