task	algo	seed	n_total	window	n_in_window	phi_L	phi_R	bwd	fwd	bwd_signed	fwd_signed
arithmetic_easy	grpo	42	40	0	10	0.6374986580228239	0.700045921588887	1.111805760446214	1.1974919121066725	0.4144354082676288	0.3109403865365119
arithmetic_easy	grpo	42	40	1	10	0.6023652959073484	0.03218210361067597	0.8383796055078119	0.2988453882230017	-0.6206734293311362	-0.2988453882230017
arithmetic_easy	grpo	42	40	2	10	-0.6094576719576713	0.046875000000005274	0.8269802579021265	0.49388864123458	-0.5939801451305283	0.11793359961920974
arithmetic_easy	grpo	42	40	3	10	-0.17252489748095345	0.1694915254237321	0.4759654813686795	1.2058048516755202	-0.3901703403409938	0.5855674603207632
arithmetic_easy	grpo	123	40	0	10	0.562093450454295	0.7174846398697167	0.30333159228273326	0.34701338344574467	0.19929501455190682	0.3020579662592831
arithmetic_easy	grpo	123	40	1	10	0.15023020519525146	-0.09854014598540117	1.0297325848995194	1.0483845303473747	0.22678963151021786	0.17031187902262257
arithmetic_easy	grpo	123	40	2	10	0.09796845763165335	-0.1112224448897781	0.4538865342797618	0.5776165174234205	-0.4538865342797618	0.5776165174234205
arithmetic_easy	grpo	123	40	3	10	0.09642094017093764	0.3703703703703716	1.2398397776425008	0.8626257163860931	0.2534888508154705	0.8626257163860931
arithmetic_easy	grpo	456	40	0	10	0.66768353035375	0.721510883482714	0.5118536111830336	0.6760237215014204	0.006084695328302081	0.48041202179915166
arithmetic_easy	grpo	456	40	1	10	-0.3826092368977984	-0.1424914675767897	0.8700678328704126	0.7099779920065137	0.5278728947914472	0.39189725944395387
arithmetic_easy	grpo	456	40	2	10	-0.22792332268371016	-0.18421052631579846	0.3475105243030757	1.1268682428378767	-0.22317624669784994	-0.17559376539997634
arithmetic_easy	grpo	456	40	3	10	-0.2416974169741705	-0.1842783505154663	1.0178714778205404	0.27113372425483884	-0.7290156408262665	0.27113372425483884
arithmetic_easy	grpo	789	40	0	10	0.673186226795522	0.7931065818512267	1.155551776434946	1.0203117841151585	-0.2404155948023864	0.3422828198833857
arithmetic_easy	grpo	789	40	1	10	-0.13493126542122277	-0.1891117478510093	0.7160045637370467	1.0243836833793947	-0.15036847766538353	-0.1123421471226752
arithmetic_easy	grpo	789	40	2	10	-0.29650912225254844	-0.24689440993789005	0.6552059440274949	1.0232021373974869	-0.6552059440274949	0.29091271001625185
arithmetic_easy	grpo	789	40	3	10	0.20833333333333948	0.49696180555555536	0.08316074081115699	0.4037672810436439	0.06565321642986016	0.4037672810436439
arithmetic_easy	grpo	1024	40	0	10	0.6707326397738574	0.7008320447684265	1.2850368673940227	0.8496202346134067	-0.5060539656005836	0.23761252063699084
arithmetic_easy	grpo	1024	40	1	10	0.10928212162779752	-0.4841040462427745	0.6230447069076257	1.2254654534705218	-0.5704494415444146	0.7956901659458047
arithmetic_easy	grpo	1024	40	2	10	0.49148751087361703	-0.1983471074380185	0.9079656873190929	0.5002122869914859	0.5048017316422349	-0.5002122869914859
arithmetic_easy	grpo	1024	40	3	10	-0.38265306122449066	-0.5555555555555534	0.6007222201587988	1.2254459936147981	0.08110347936406392	0.02285931952223319
arithmetic_easy	dr_grpo	42	40	0	10	0.680179498989989	0.7648037861461472	1.0259138212107684	0.44119770926426993	-0.5398587436580564	0.3944882905379117
arithmetic_easy	dr_grpo	42	40	1	10	0.6490986381169797	0.10160427807486713	0.6940037923353984	0.6240475942386594	0.05553721051991523	-0.22798929166654588
arithmetic_easy	dr_grpo	42	40	2	10	-0.4892857142857143	-0.12962962962963145	1.1835535269882878	0.6629595706750582	0.2305024507289733	-0.6629595706750582
arithmetic_easy	dr_grpo	42	40	3	10	-0.1582509669101803	-0.23661971830985962	0.5440623309085624	0.5081530842299355	0.15565519848143294	0.314360237233828
arithmetic_easy	dr_grpo	123	40	0	10	0.7349672564935364	0.7376202886928632	1.177725613288693	0.39477843781157207	0.28222559180264106	0.39477843781157207
arithmetic_easy	dr_grpo	123	40	1	10	0.38916500994035713	-0.20076169749728084	1.4163661801838379	0.17480831788501333	0.4997420419429613	-0.045595504320708996
arithmetic_easy	dr_grpo	123	40	2	10	0.6541407371948292	0.016666666666670917	0.6726649066624091	0.7206175215483654	-0.5121570714593129	0.26386535032702474
arithmetic_easy	dr_grpo	123	40	3	10	0.05268199233716378	0.06193353474319688	1.119330835069401	0.7264100802629551	-0.34567166647853786	-0.6833841073024741
arithmetic_easy	dr_grpo	456	40	0	10	0.66729739990937	0.7750611246943759	0.4172924467293482	0.5258178990497393	0.15342739916122577	0.5258178990497393
arithmetic_easy	dr_grpo	456	40	1	10	-0.21407624633431094	-0.824242424242424	0.3537534277025146	0.17032287477345856	0.2693697268621993	0.1367744531426103
arithmetic_easy	dr_grpo	456	40	2	10	-0.2587727356237391	-0.19205298013244526	0.8533266794310231	0.9411604330396361	0.2538533610440714	-0.4300186838799309
arithmetic_easy	dr_grpo	456	40	3	10	-0.004315969085618103	-0.08163265306121605	1.4379513916741753	0.41572153581707527	0.11599419486488116	-0.020439246954247953
arithmetic_easy	dr_grpo	789	40	0	10	0.6024968614342102	0.7942820838627698	0.7632746909827193	1.4308378881558428	-0.552818944427798	-0.675081986609877
arithmetic_easy	dr_grpo	789	40	1	10	-0.14512565589616122	0.036544850498336424	1.0535619626389416	0.9474818348168573	0.12337823687860167	0.32434231642668737
arithmetic_easy	dr_grpo	789	40	2	10	-0.4581325301204803	-0.3244274809160311	0.8736468308237226	0.4409079170317345	-0.8736468308237226	0.3374100624806582
arithmetic_easy	dr_grpo	789	40	3	10	0.20833333333334	-1.2500000000001892	0.16070934107842882	0.32889788360320005	0.16070934107842882	0.22549792360740953
arithmetic_easy	dr_grpo	1024	40	0	10	0.5992050411012146	0.7552740447619292	0.7087301330023819	0.9601141518257117	0.15735581860555242	0.21083068300369073
arithmetic_easy	dr_grpo	1024	40	1	10	0.18163471241170676	-0.28358208955223835	0.7001478664001988	1.1969044128617172	-0.6661392926755225	0.6155866327702638
arithmetic_easy	dr_grpo	1024	40	2	10	0.49999999999999484	-0.1976744186046561	1.0543559323791007	0.8738427115388732	0.0636468897061061	-0.14475552793413388
arithmetic_easy	dr_grpo	1024	40	3	10	-0.3571428571428545	-0.25000000000004485	1.0455072799503564	0.8904025604291367	0.5294579327582172	-0.05327194805988811
gsm8k_cot	grpo	42	30	0	7	-0.32961754387794123	-0.4846526655896605	0.9996242749908988	0.7434161949105119	0.695364789536566	0.2801780973556057
gsm8k_cot	grpo	42	30	1	8	-0.06999751525224632	-0.23967684021544028	0.9993258141264763	0.6733103310782347	0.9993258141264763	-0.2743046730933711
gsm8k_cot	grpo	42	30	2	7	0.2690319727256013	0.24497555676262933	1.1684012454832537	1.018521322398087	-0.9519672748121597	1.018521322398087
gsm8k_cot	grpo	42	30	3	8	-0.003500585528948406	-0.3906976744186049	1.1941804390424586	0.858289533845218	-0.2292738512835505	0.47006904882960276
gsm8k_cot	grpo	123	30	0	7	-0.41090731345983644	-0.2642857142857144	1.0673391783141877	0.8485011132873779	0.1806374611402397	0.004285524103711413
gsm8k_cot	grpo	123	30	1	8	-0.3325565098352452	-0.564366998577525	0.6662988460743421	1.1932391121855401	0.5368627054965701	-0.5359767114844867
gsm8k_cot	grpo	123	30	2	7	0.5099042198778572	2.83671239464423e-16	0.40878748385483477	1.339597132760142	-0.40878748385483477	1.339597132760142
gsm8k_cot	grpo	123	30	3	8	0.06955231045658776	0.3297101449275361	0.830183189524993	0.7277071911057172	0.44171980293258606	0.7277071911057172
gsm8k_cot	grpo	456	30	0	7	1.3264535162621054	0.5125899280575537	1.1415217328886245	0.7662269432010662	-0.7210424010457921	-0.12836277769425544
gsm8k_cot	grpo	456	30	1	8	-0.9215320779313741	-0.15254237288135603	0.7605054309371142	1.1088739906012552	0.5509175686219175	0.197580016897286
gsm8k_cot	grpo	456	30	2	7	-0.23725434741668222	-0.23341523341523338	0.7039037549721868	0.9226348288046685	0.4509997235461919	0.6756562749191554
gsm8k_cot	grpo	456	30	3	8	-0.5390131335441902	-0.682313495389773	1.6420896631768103	0.6034867292157853	1.6420896631768103	-0.6034867292157853
gsm8k_cot	dr_grpo	42	30	0	7	-0.47127364282692835	-0.35393258426966334	0.7662866275462277	1.4068579984372347	0.7662866275462277	-0.695771497520553
gsm8k_cot	dr_grpo	42	30	1	8	0.22662876966688889	-0.018606024808032872	0.5257078486790391	1.243380527113235	0.5257078486790391	-0.16900490656106726
gsm8k_cot	dr_grpo	42	30	2	7	0.25391666715008826	-0.31055900621118043	0.9809458986736499	1.3391142843257062	0.4110351582602965	-0.07943755867176133
gsm8k_cot	dr_grpo	42	30	3	8	0.3768756424200606	-0.5033875338753379	0.7069514861080787	0.6146817097714753	-0.08038174102709073	0.0317940534011423
gsm8k_cot	dr_grpo	123	30	0	7	-0.25802312584891546	-0.1689059500959693	1.4709616795335843	0.5936463524221927	0.5492987849114741	0.01652393602733121
gsm8k_cot	dr_grpo	123	30	1	8	-0.8083046562831274	-1.0657370517928286	0.7016191752598795	0.18443104762777654	0.7016191752598795	-0.007248906625625301
gsm8k_cot	dr_grpo	123	30	2	7	-0.5498930686215137	-0.7102040816326536	0.5353685518194404	1.156370910944956	0.009408553155917265	-0.0640213632066979
gsm8k_cot	dr_grpo	123	30	3	8	0.03251951375349999	0.34022445363260506	1.031710651674579	1.0854864187402198	1.031710651674579	0.5506860476829918
gsm8k_cot	dr_grpo	456	30	0	7	-0.12496153209868348	0.5302197802197801	1.059507469529112	0.26835377878155986	-1.0445089272191876	0.08272047689425442
gsm8k_cot	dr_grpo	456	30	1	8	-0.6535063446101729	-0.02971311475409809	0.5615793842038381	1.1153319097058547	0.06193770666435203	0.3756171263017399
gsm8k_cot	dr_grpo	456	30	2	7	-0.27017407410153993	-0.13953488372092993	0.7943352808734175	0.9458162407613594	0.5647183166768529	0.5902901712419474
gsm8k_cot	dr_grpo	456	30	3	8	-0.6661782355637279	-0.34515449438202195	0.5964495433315699	0.7934461827882722	0.5964495433315699	-0.3106813320540916
