algo	seed	model	n_steps	r_first	r_last	r_mean	model_name	param_p1	param_p2	ss_res	r2	aic	bic	hit_bound
grpo	42	Qwen/Qwen2.5-0.5B	40	0.140625	1.0	0.9181640625	A_saturation_exp	0.9843101893830555	0.32928910957706453	0.100957	0.9162	-121.7626	-118.3848	False
grpo	42	Qwen/Qwen2.5-0.5B	40	0.140625	1.0	0.9181640625	B_michaelis_menten	1.0700383406398963	1.960230667298198	0.221424	0.8163	-90.3471	-86.9693	False
grpo	42	Qwen/Qwen2.5-0.5B	40	0.140625	1.0	0.9181640625	C_hill_n2	0.993456979902021	2.3107286632375597	0.06827	0.9434	-137.4113	-134.0336	False
grpo	42	Qwen/Qwen2.5-0.5B	40	0.140625	1.0	0.9181640625	D_power_law	1.1083130443935527	0.6803210193374791	0.267577	0.778	-82.7741	-79.3963	False
grpo	42	Qwen/Qwen2.5-0.5B	40	0.140625	1.0	0.9181640625	E_linear	0.7625600961536574	0.007590437382746201	0.898234	0.2548	-34.3331	-30.9553	False
grpo	123	Qwen/Qwen2.5-0.5B	40	0.1796875	1.0	0.9169921875	A_saturation_exp	0.987002053401245	0.30845446863483444	0.059869	0.9475	-142.6643	-139.2865	False
grpo	123	Qwen/Qwen2.5-0.5B	40	0.1796875	1.0	0.9169921875	B_michaelis_menten	1.0815171887252355	2.1709329688238643	0.12178	0.8933	-114.2616	-110.8838	False
grpo	123	Qwen/Qwen2.5-0.5B	40	0.1796875	1.0	0.9169921875	C_hill_n2	0.9946571889069609	2.410589408846127	0.043807	0.9616	-155.1588	-151.781	False
grpo	123	Qwen/Qwen2.5-0.5B	40	0.1796875	1.0	0.9169921875	D_power_law	1.1549802540853056	0.6005777994607281	0.159837	0.86	-103.3841	-100.0063	False
grpo	123	Qwen/Qwen2.5-0.5B	40	0.1796875	1.0	0.9169921875	E_linear	0.7302584134614885	0.00910896458724388	0.699072	0.3875	-44.3602	-40.9824	False
grpo	456	Qwen/Qwen2.5-0.5B	40	0.2734375	0.9921875	0.92265625	A_saturation_exp	0.9834679890900472	0.3427328307613493	0.05055	0.9461	-149.4319	-146.0541	False
