training_run_id	base_model	is_lora	lora_rank	corrupted	last_request_time	checkpoint_id	checkpoint_type	checkpoint_time	tinker_path	size_bytes	public	expires_at	is_latest_sampler_checkpoint
8c0018a3-b25b-5252-bf6a-e07b28203cd4:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.381539+00:00	sampler_weights/qp7B_s1	sampler	2026-07-04 09:36:20.154708+00:00	tinker://8c0018a3-b25b-5252-bf6a-e07b28203cd4:train:1/sampler_weights/qp7B_s1	291856262	False		False
8c0018a3-b25b-5252-bf6a-e07b28203cd4:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.381539+00:00	sampler_weights/qp7B_s2	sampler	2026-07-04 09:36:59.454824+00:00	tinker://8c0018a3-b25b-5252-bf6a-e07b28203cd4:train:1/sampler_weights/qp7B_s2	291856262	False		False
8c0018a3-b25b-5252-bf6a-e07b28203cd4:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.381539+00:00	sampler_weights/qp7B_s3	sampler	2026-07-04 09:37:47.855469+00:00	tinker://8c0018a3-b25b-5252-bf6a-e07b28203cd4:train:1/sampler_weights/qp7B_s3	291856262	False		False
8c0018a3-b25b-5252-bf6a-e07b28203cd4:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.381539+00:00	sampler_weights/qp7B_s4	sampler	2026-07-04 09:38:34.124326+00:00	tinker://8c0018a3-b25b-5252-bf6a-e07b28203cd4:train:1/sampler_weights/qp7B_s4	291856262	False		False
8c0018a3-b25b-5252-bf6a-e07b28203cd4:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.381539+00:00	sampler_weights/qp7B_s5	sampler	2026-07-04 09:39:11.171622+00:00	tinker://8c0018a3-b25b-5252-bf6a-e07b28203cd4:train:1/sampler_weights/qp7B_s5	291856262	False		True
a0d888b9-1e38-5934-ace1-a2862a9ab786:train:0	meta-llama/Llama-3.2-3B	True	8	False	2026-07-04 09:34:21.997318+00:00								
7465986e-84b7-5dbd-859b-83064a4f9f12:train:0	Qwen/Qwen3.5-4B	True	16	False	2026-07-04 09:39:12.583105+00:00	sampler_weights/eval_0	sampler	2026-07-04 09:34:33.244432+00:00	tinker://7465986e-84b7-5dbd-859b-83064a4f9f12:train:0/sampler_weights/eval_0	146038655	False		False
7465986e-84b7-5dbd-859b-83064a4f9f12:train:0	Qwen/Qwen3.5-4B	True	16	False	2026-07-04 09:39:12.583105+00:00	sampler_weights/eval_16	sampler	2026-07-04 09:35:47.673182+00:00	tinker://7465986e-84b7-5dbd-859b-83064a4f9f12:train:0/sampler_weights/eval_16	146038655	False		False
7465986e-84b7-5dbd-859b-83064a4f9f12:train:0	Qwen/Qwen3.5-4B	True	16	False	2026-07-04 09:39:12.583105+00:00	sampler_weights/eval_32	sampler	2026-07-04 09:36:55.538848+00:00	tinker://7465986e-84b7-5dbd-859b-83064a4f9f12:train:0/sampler_weights/eval_32	146038655	False		False
7465986e-84b7-5dbd-859b-83064a4f9f12:train:0	Qwen/Qwen3.5-4B	True	16	False	2026-07-04 09:39:12.583105+00:00	sampler_weights/eval_48	sampler	2026-07-04 09:38:03.998621+00:00	tinker://7465986e-84b7-5dbd-859b-83064a4f9f12:train:0/sampler_weights/eval_48	146038655	False		False
7465986e-84b7-5dbd-859b-83064a4f9f12:train:0	Qwen/Qwen3.5-4B	True	16	False	2026-07-04 09:39:12.583105+00:00	sampler_weights/eval_63	sampler	2026-07-04 09:39:13.017244+00:00	tinker://7465986e-84b7-5dbd-859b-83064a4f9f12:train:0/sampler_weights/eval_63	146038655	False		True
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step0	sampler	2026-07-04 09:34:02.018082+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step0	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step1	sampler	2026-07-04 09:34:21.245790+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step1	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step2	sampler	2026-07-04 09:34:41.056817+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step2	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step3	sampler	2026-07-04 09:34:59.276808+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step3	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step4	sampler	2026-07-04 09:35:17.169228+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step4	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step5	sampler	2026-07-04 09:35:35.414684+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step5	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step6	sampler	2026-07-04 09:35:55.215149+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step6	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step7	sampler	2026-07-04 09:36:13.435284+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step7	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step8	sampler	2026-07-04 09:36:32.541290+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step8	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step9	sampler	2026-07-04 09:36:52.273974+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step9	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step10	sampler	2026-07-04 09:37:10.333923+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step10	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step11	sampler	2026-07-04 09:37:28.851852+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step11	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step12	sampler	2026-07-04 09:37:45.750551+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step12	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step13	sampler	2026-07-04 09:38:05.199305+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step13	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step14	sampler	2026-07-04 09:38:23.596335+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step14	291856262	False		False
d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:38:57.235510+00:00	sampler_weights/s1_step15	sampler	2026-07-04 09:38:40.615187+00:00	tinker://d0b02522-7455-520e-974d-808b258aa0ba:train:1/sampler_weights/s1_step15	291856262	False		True
7b18be15-c219-5e72-a926-8cf15c799c1a:train:0	Qwen/Qwen3.5-4B	True	16	False	2026-07-04 09:33:25.921209+00:00	sampler_weights/eval_0	sampler	2026-07-04 09:33:02.498095+00:00	tinker://7b18be15-c219-5e72-a926-8cf15c799c1a:train:0/sampler_weights/eval_0	146038655	False		False
7b18be15-c219-5e72-a926-8cf15c799c1a:train:0	Qwen/Qwen3.5-4B	True	16	False	2026-07-04 09:33:25.921209+00:00	sampler_weights/eval_1	sampler	2026-07-04 09:33:15.381458+00:00	tinker://7b18be15-c219-5e72-a926-8cf15c799c1a:train:0/sampler_weights/eval_1	146038655	False		False
7b18be15-c219-5e72-a926-8cf15c799c1a:train:0	Qwen/Qwen3.5-4B	True	16	False	2026-07-04 09:33:25.921209+00:00	sampler_weights/eval_2	sampler	2026-07-04 09:33:26.408163+00:00	tinker://7b18be15-c219-5e72-a926-8cf15c799c1a:train:0/sampler_weights/eval_2	146038655	False		True
c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:39:08.712741+00:00	sampler_weights/grpo_s0	sampler	2026-07-04 09:30:35.310985+00:00	tinker://c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1/sampler_weights/grpo_s0	291856262	False		False
c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:39:08.712741+00:00	sampler_weights/grpo_s1	sampler	2026-07-04 09:32:29.922957+00:00	tinker://c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1/sampler_weights/grpo_s1	291856262	False		False
c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:39:08.712741+00:00	sampler_weights/grpo_s2	sampler	2026-07-04 09:33:26.674255+00:00	tinker://c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1/sampler_weights/grpo_s2	291856262	False		False
c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:39:08.712741+00:00	sampler_weights/grpo_s3	sampler	2026-07-04 09:35:25.312932+00:00	tinker://c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1/sampler_weights/grpo_s3	291856262	False		False
c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:39:08.712741+00:00	sampler_weights/grpo_s4	sampler	2026-07-04 09:36:20.247151+00:00	tinker://c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1/sampler_weights/grpo_s4	291856262	False		False
c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:39:08.712741+00:00	sampler_weights/grpo_s5	sampler	2026-07-04 09:36:59.370796+00:00	tinker://c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1/sampler_weights/grpo_s5	291856262	False		False
c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:39:08.712741+00:00	sampler_weights/grpo_s6	sampler	2026-07-04 09:37:52.141812+00:00	tinker://c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1/sampler_weights/grpo_s6	291856262	False		False
c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:39:08.712741+00:00	sampler_weights/grpo_s7	sampler	2026-07-04 09:38:34.214518+00:00	tinker://c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1/sampler_weights/grpo_s7	291856262	False		False
c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:39:08.712741+00:00	sampler_weights/grpo_s8	sampler	2026-07-04 09:39:15.255476+00:00	tinker://c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1/sampler_weights/grpo_s8	291856262	False		True
c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:30:17.210109+00:00								
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step0	sampler	2026-07-04 09:30:04.652574+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step0	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step1	sampler	2026-07-04 09:30:22.650205+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step1	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step2	sampler	2026-07-04 09:30:42.433424+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step2	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step3	sampler	2026-07-04 09:31:04.198035+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step3	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step4	sampler	2026-07-04 09:31:21.437443+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step4	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step5	sampler	2026-07-04 09:31:38.994879+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step5	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step6	sampler	2026-07-04 09:31:58.907060+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step6	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step7	sampler	2026-07-04 09:32:17.415489+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step7	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step8	sampler	2026-07-04 09:32:37.033572+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step8	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step9	sampler	2026-07-04 09:32:54.979786+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step9	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step10	sampler	2026-07-04 09:33:14.106717+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step10	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step11	sampler	2026-07-04 09:33:32.586573+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step11	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step12	sampler	2026-07-04 09:33:50.173320+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step12	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step13	sampler	2026-07-04 09:34:09.507220+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step13	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step14	sampler	2026-07-04 09:34:26.247502+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step14	291856262	False		False
81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:35:02.325390+00:00	sampler_weights/g4_step15	sampler	2026-07-04 09:34:44.477153+00:00	tinker://81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0/sampler_weights/g4_step15	291856262	False		True
49b99db4-a762-510b-a5ee-0a04d543113b:train:1	Qwen/Qwen3.5-4B	True	32	False	2026-07-04 09:29:12.993957+00:00	sampler_weights/g8_step0	sampler	2026-07-04 09:29:20.905711+00:00	tinker://49b99db4-a762-510b-a5ee-0a04d543113b:train:1/sampler_weights/g8_step0	291856262	False		True
