T_tokens	T_M_tokens	G_a	G_b	acc_G_a	acc_G_a_ci_low	acc_G_a_ci_high	acc_G_b	acc_G_b_ci_low	acc_G_b_ci_high	diff_a_minus_b	diff_ci_low	diff_ci_high	retention_pct_of_Gb	wu_2025_claim_pct	generalizes_wu_claim
1000000	1	4	32	0.41	0.38	0.44	0.42	0.39	0.45	-0.01	-0.07	0.05	97.62	97.6	yes
4000000	4	4	32	0.55	0.52	0.58	0.66	0.63	0.69	-0.11	-0.17	-0.05	83.33	97.6	no
16000000	16	4	32	0.63	0.6	0.66	0.84	0.81	0.87	-0.21	-0.27	-0.15	75.0	97.6	no
64000000	64	4	32	0.64	0.61	0.67	0.88	0.85	0.91	-0.24	-0.3	-0.18	72.73	97.6	no
