target_acc	reachable_Gs	G_min	G_max	G_ratio_max	log2_G_ratio	literature_2octave_ratio	exceeds_literature_ratio
0.5	4,8,16,32,64	4	64	16.0	4.0	8.0	yes
0.55	4,8,16,32,64	4	64	16.0	4.0	8.0	yes
0.6	4,8,16,32,64	4	64	16.0	4.0	8.0	yes
0.65	8,16,32,64	8	64	8.0	3.0	8.0	no
0.7	8,16,32,64	8	64	8.0	3.0	8.0	no
0.75	8,16,32,64	8	64	8.0	3.0	8.0	no
0.8	8,16,32,64	8	64	8.0	3.0	8.0	no
0.85	16,32,64	16	64	4.0	2.0	8.0	no
