T_M	G_star	acc_star	worst_G	worst_acc	envelope_gap_pp	envelope_gap_at_G4_pp
1.0	8	0.4800	64	0.3500	13.00	7.00
4.0	16	0.6900	4	0.5500	14.00	14.00
16.0	32	0.8400	4	0.6300	21.00	21.00
64.0	32	0.8800	4	0.6400	24.00	24.00
