T_tokens	G	acc	difficulty_bin
1000000	4	0.41	low
1000000	8	0.48	low
1000000	16	0.47	low
1000000	32	0.42	low
1000000	64	0.35	low
4000000	4	0.55	mid
4000000	8	0.67	mid
4000000	16	0.69	mid
4000000	32	0.66	mid
4000000	64	0.58	mid
16000000	4	0.63	mid
16000000	8	0.78	high
16000000	16	0.82	high
16000000	32	0.84	high
16000000	64	0.8	high
64000000	4	0.64	mid
64000000	8	0.8	high
64000000	16	0.85	high
64000000	32	0.88	high
64000000	64	0.87	high
