task	hypothesis	obs_rho	ci_lo	ci_hi	n	B_boot
arithmetic_easy	H1_sever_vs_baseline_ZVF	-0.43573464905456366	-0.7715755449502671	0.05430327683799959	20	50000
gsm8k_cot	H1_sever_vs_baseline_ZVF	-0.1335695190804731	-0.7518248175182481	0.4963511088022407	12	50000
arithmetic_easy	H2_sever_vs_neg_delta_ZVF	0.1628350937643352	-0.3455142516108985	0.6190341503650573	20	50000
gsm8k_cot	H2_sever_vs_neg_delta_ZVF	-0.2081209670087158	-0.9487536930703273	0.5669817440703095	12	50000
