section	task	algo	bin	len_min	len_max	len_mid	mean_reward	n_steps	seed	model
per_run_bin	arithmetic_easy_qwen2.5-0.5b	grpo	L3	4.5625	4.6562	4.5977	0.986049	14	1024	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	grpo	L4	4.6641	7.3750	5.6195	0.724219	10	1024	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L1	4.2109	4.3828	4.3102	0.935937	10	42	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L2	4.4219	4.5312	4.4719	0.977344	10	42	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L3	4.5625	4.6875	4.6211	0.962500	10	42	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L4	4.7266	7.7266	5.4633	0.723437	10	42	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L1	4.1328	4.3750	4.3016	0.946875	10	123	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L2	4.4062	4.5000	4.4586	0.969531	10	123	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L3	4.5156	4.6250	4.5573	0.958333	9	123	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L4	4.6875	6.8047	5.3246	0.757812	11	123	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L1	4.1875	4.4062	4.3368	0.949653	9	456	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L2	4.4219	4.5234	4.4652	0.952415	11	456	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L3	4.5391	4.6250	4.5998	0.972222	9	456	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L4	4.6484	7.3438	5.3281	0.755682	11	456	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L1	4.3125	4.4375	4.3914	0.951562	10	789	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L2	4.4609	4.5391	4.5000	0.983259	7	789	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L3	4.5625	4.6719	4.6040	0.972356	13	789	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L4	4.6875	7.2891	5.4453	0.719531	10	789	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L1	4.2500	4.4531	4.3516	0.983594	10	1024	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L2	4.4922	4.5000	4.4987	0.977865	6	1024	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L3	4.5625	4.6250	4.5904	0.988839	14	1024	Qwen/Qwen2.5-0.5B
per_run_bin	arithmetic_easy_qwen2.5-0.5b	dr_grpo	L4	4.6328	7.5000	5.4141	0.737500	10	1024	Qwen/Qwen2.5-0.5B
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L1	152.9844	181.7812	173.7207	0.339844	8	42	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L2	181.9688	188.9219	185.7254	0.319196	7	42	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L3	189.2500	192.2344	191.1786	0.267857	7	42	Qwen/Qwen2.5-1.5B-Instruct
per_run_bin	gsm8k_cot_hard_qwen2.5-1.5b	grpo	L4	192.2969	198.2812	195.1875	0.181641	8	42	Qwen/Qwen2.5-1.5B-Instruct
