model	params_B	form	rmax_pred	rmax_true	abs_err_rmax	t80_pred	t80_true	abs_err_t80
Qwen3-32B	32.0	sat	0.1954	0.2502	0.0548	7.6069	0.3219	7.285
Qwen3-32B	32.0	hill	0.1925	0.2497	0.0572	47.7723	0.002	47.7703
Nemotron-120B	120.0	sat	0.0787	2.0	1.9213	56.7849	153.4007	96.6158
Nemotron-120B	120.0	hill	0.0768	2.0	1.9232	28977.2977	70.9003	28906.3974
DeepSeek-V3.1	685.0	sat	0.0238	0.8438	0.82	803.1311	0.3219	802.8092
DeepSeek-V3.1	685.0	hill	0.0229	0.8436	0.8207	134767891.9167	0.002	134767891.9147
Kimi-K2-Thinking	1000.0	sat	0.0183	0.8501	0.8318	1427.8415	0.3219	1427.5196
Kimi-K2-Thinking	1000.0	hill	0.0176	0.8499	0.8323	843630592.5569	0.002	843630592.5549
