task	algo	seed	L_bin_center	std_R_given_L	n_pts
arithmetic_easy	grpo	42	4.33	0.03024	8
arithmetic_easy	grpo	42	4.449	0.032076	8
arithmetic_easy	grpo	42	4.562	0.024327	8
arithmetic_easy	grpo	42	4.708	0.023784	8
arithmetic_easy	grpo	42	5.672	0.306768	8
arithmetic_easy	grpo	123	4.352	0.054127	8
arithmetic_easy	grpo	123	4.473	0.014466	8
arithmetic_easy	grpo	123	4.565	0.053315	8
arithmetic_easy	grpo	123	4.67	0.036165	8
arithmetic_easy	grpo	123	5.691	0.281326	8
arithmetic_easy	grpo	456	4.306	0.041916	8
arithmetic_easy	grpo	456	4.409	0.035125	8
arithmetic_easy	grpo	456	4.502	0.037916	8
arithmetic_easy	grpo	456	4.621	0.005813	8
arithmetic_easy	grpo	456	5.583	0.26292	8
arithmetic_easy	grpo	789	4.393	0.019108	8
arithmetic_easy	grpo	789	4.478	0.027935	8
arithmetic_easy	grpo	789	4.552	0.025742	8
arithmetic_easy	grpo	789	4.653	0.049926	8
arithmetic_easy	grpo	789	5.659	0.272013	8
arithmetic_easy	grpo	1024	4.358	0.005813	8
arithmetic_easy	grpo	1024	4.5	0.022072	8
arithmetic_easy	grpo	1024	4.573	0.022391	8
arithmetic_easy	grpo	1024	4.645	0.011765	8
arithmetic_easy	grpo	1024	5.853	0.256896	8
arithmetic_easy	dr_grpo	42	4.293	0.05199	8
arithmetic_easy	dr_grpo	42	4.431	0.025721	8
arithmetic_easy	dr_grpo	42	4.538	0.046302	8
arithmetic_easy	dr_grpo	42	4.677	0.025658	8
arithmetic_easy	dr_grpo	42	5.645	0.305629	8
arithmetic_easy	dr_grpo	123	4.283	0.048688	8
arithmetic_easy	dr_grpo	123	4.418	0.023251	8
arithmetic_easy	dr_grpo	123	4.518	0.053874	8
arithmetic_easy	dr_grpo	123	4.616	0.021674	8
arithmetic_easy	dr_grpo	123	5.563	0.295784	8
arithmetic_easy	dr_grpo	456	4.328	0.064212	8
arithmetic_easy	dr_grpo	456	4.439	0.068927	8
arithmetic_easy	dr_grpo	456	4.537	0.039396	8
arithmetic_easy	dr_grpo	456	4.639	0.044976	8
arithmetic_easy	dr_grpo	456	5.576	0.256573	8
arithmetic_easy	dr_grpo	789	4.38	0.112746	8
arithmetic_easy	dr_grpo	789	4.479	0.025315	8
arithmetic_easy	dr_grpo	789	4.572	0.030687	8
arithmetic_easy	dr_grpo	789	4.648	0.044587	8
arithmetic_easy	dr_grpo	789	5.635	0.26997	8
arithmetic_easy	dr_grpo	1024	4.328	0.046501	8
arithmetic_easy	dr_grpo	1024	4.485	0.028856	8
arithmetic_easy	dr_grpo	1024	4.566	0.026658	8
arithmetic_easy	dr_grpo	1024	4.626	0.00652	8
arithmetic_easy	dr_grpo	1024	5.608	0.271852	8
gsm8k_cot	grpo	42	171.044	0.068227	6
gsm8k_cot	grpo	42	183.315	0.129477	6
gsm8k_cot	grpo	42	189.112	0.123428	6
gsm8k_cot	grpo	42	192.081	0.103841	6
gsm8k_cot	grpo	42	196.047	0.05881	6
gsm8k_cot	grpo	123	181.875	0.112094	6
gsm8k_cot	grpo	123	187.505	0.043824	6
gsm8k_cot	grpo	123	190.531	0.129979	6
gsm8k_cot	grpo	123	192.607	0.05561	6
gsm8k_cot	grpo	123	195.667	0.074881	6
gsm8k_cot	grpo	456	184.786	0.070168	6
gsm8k_cot	grpo	456	190.026	0.05291	6
gsm8k_cot	grpo	456	193.388	0.100778	6
gsm8k_cot	grpo	456	195.099	0.09093	6
gsm8k_cot	grpo	456	196.677	0.07086	6
gsm8k_cot	dr_grpo	42	182.221	0.07526	6
gsm8k_cot	dr_grpo	42	188.083	0.078696	6
gsm8k_cot	dr_grpo	42	191.5	0.066597	6
gsm8k_cot	dr_grpo	42	194.099	0.137435	6
gsm8k_cot	dr_grpo	42	197.326	0.044925	6
gsm8k_cot	dr_grpo	123	183.326	0.093446	6
gsm8k_cot	dr_grpo	123	188.656	0.063597	6
gsm8k_cot	dr_grpo	123	190.19	0.091643	6
gsm8k_cot	dr_grpo	123	192.799	0.041241	6
gsm8k_cot	dr_grpo	123	195.872	0.037846	6
gsm8k_cot	dr_grpo	456	185.862	0.110485	6
gsm8k_cot	dr_grpo	456	191.396	0.025033	6
gsm8k_cot	dr_grpo	456	194.047	0.05539	6
gsm8k_cot	dr_grpo	456	195.688	0.063019	6
gsm8k_cot	dr_grpo	456	197.393	0.097536	6
