G_static	G_a_isog_total	G_static_total	rollout_savings_pct	rollout_savings_ci_low	rollout_savings_ci_high	comment
4	51720	1920	-2593.75	-1287.81	-1246.35	Iso-G saves rollouts
16	51720	7680	-573.44	-246.95	-236.59	Iso-G saves rollouts
32	51720	15360	-236.72	-73.48	-68.29	Iso-G saves rollouts
64	51720	30720	-68.36	13.26	15.85	Iso-G saves rollouts
128	51720	61440	15.82	56.63	57.93	Iso-G saves rollouts
