task	algo	seed	band	lo	hi	coh
arithmetic	grpo	42	vlow	0.0000	0.0500	0.9060
arithmetic	grpo	42	low	0.0500	0.1500	0.7421
arithmetic	grpo	42	mid	0.1500	0.3000	0.2680
arithmetic	grpo	42	high	0.3000	0.5000	0.0112
arithmetic	grpo	123	vlow	0.0000	0.0500	0.9253
arithmetic	grpo	123	low	0.0500	0.1500	0.8334
arithmetic	grpo	123	mid	0.1500	0.3000	0.4685
arithmetic	grpo	123	high	0.3000	0.5000	0.1825
arithmetic	grpo	456	vlow	0.0000	0.0500	0.8846
arithmetic	grpo	456	low	0.0500	0.1500	0.8460
arithmetic	grpo	456	mid	0.1500	0.3000	0.0725
arithmetic	grpo	456	high	0.3000	0.5000	0.0886
arithmetic	grpo	789	vlow	0.0000	0.0500	0.9042
arithmetic	grpo	789	low	0.0500	0.1500	0.8941
arithmetic	grpo	789	mid	0.1500	0.3000	0.5219
arithmetic	grpo	789	high	0.3000	0.5000	0.1096
arithmetic	grpo	1024	vlow	0.0000	0.0500	0.7884
arithmetic	grpo	1024	low	0.0500	0.1500	0.7203
arithmetic	grpo	1024	mid	0.1500	0.3000	0.2689
arithmetic	grpo	1024	high	0.3000	0.5000	0.2593
arithmetic	dr_grpo	42	vlow	0.0000	0.0500	0.7836
arithmetic	dr_grpo	42	low	0.0500	0.1500	0.5675
arithmetic	dr_grpo	42	mid	0.1500	0.3000	0.0382
arithmetic	dr_grpo	42	high	0.3000	0.5000	0.1469
arithmetic	dr_grpo	123	vlow	0.0000	0.0500	0.8679
arithmetic	dr_grpo	123	low	0.0500	0.1500	0.8099
arithmetic	dr_grpo	123	mid	0.1500	0.3000	0.4079
arithmetic	dr_grpo	123	high	0.3000	0.5000	0.2585
arithmetic	dr_grpo	456	vlow	0.0000	0.0500	0.9720
arithmetic	dr_grpo	456	low	0.0500	0.1500	0.8320
arithmetic	dr_grpo	456	mid	0.1500	0.3000	0.4157
arithmetic	dr_grpo	456	high	0.3000	0.5000	0.0473
arithmetic	dr_grpo	789	vlow	0.0000	0.0500	0.8342
arithmetic	dr_grpo	789	low	0.0500	0.1500	0.7668
arithmetic	dr_grpo	789	mid	0.1500	0.3000	0.0086
arithmetic	dr_grpo	789	high	0.3000	0.5000	0.1892
arithmetic	dr_grpo	1024	vlow	0.0000	0.0500	0.9321
arithmetic	dr_grpo	1024	low	0.0500	0.1500	0.7682
arithmetic	dr_grpo	1024	mid	0.1500	0.3000	0.4337
arithmetic	dr_grpo	1024	high	0.3000	0.5000	0.0453
gsm8k_cot	grpo	42	vlow	0.0000	0.0500	0.1165
gsm8k_cot	grpo	42	low	0.0500	0.1500	0.5726
gsm8k_cot	grpo	42	mid	0.1500	0.3000	0.4564
gsm8k_cot	grpo	42	high	0.3000	0.5000	0.2982
gsm8k_cot	grpo	123	vlow	0.0000	0.0500	4.072e-05
gsm8k_cot	grpo	123	low	0.0500	0.1500	0.1619
gsm8k_cot	grpo	123	mid	0.1500	0.3000	0.1759
gsm8k_cot	grpo	123	high	0.3000	0.5000	0.5014
gsm8k_cot	grpo	456	vlow	0.0000	0.0500	0.4638
gsm8k_cot	grpo	456	low	0.0500	0.1500	0.5694
gsm8k_cot	grpo	456	mid	0.1500	0.3000	0.5788
gsm8k_cot	grpo	456	high	0.3000	0.5000	0.7558
gsm8k_cot	dr_grpo	42	vlow	0.0000	0.0500	0.8327
gsm8k_cot	dr_grpo	42	low	0.0500	0.1500	0.8491
gsm8k_cot	dr_grpo	42	mid	0.1500	0.3000	0.4738
gsm8k_cot	dr_grpo	42	high	0.3000	0.5000	0.0270
gsm8k_cot	dr_grpo	123	vlow	0.0000	0.0500	0.6287
gsm8k_cot	dr_grpo	123	low	0.0500	0.1500	0.5661
gsm8k_cot	dr_grpo	123	mid	0.1500	0.3000	0.7284
gsm8k_cot	dr_grpo	123	high	0.3000	0.5000	0.7433
gsm8k_cot	dr_grpo	456	vlow	0.0000	0.0500	0.3778
gsm8k_cot	dr_grpo	456	low	0.0500	0.1500	0.6996
gsm8k_cot	dr_grpo	456	mid	0.1500	0.3000	0.5274
gsm8k_cot	dr_grpo	456	high	0.3000	0.5000	0.5637
